review,total_word_count,count_good,count_average,count_medium,count_worst,vader_score,sentiments
Cars were getting towed upon arrival,6,0,0,0,0,0,Average
Staff looked tired and were clearly unhappy working there,9,0,0,0,1,-0.4588,Worst
My car got broken into and my switch 2 got stolen,11,0,0,0,3,-0.743,Worst
Even though this place is gated,6,0,0,0,0,0,Average
"Positive: Awesome staff  Ice machine hadn’t made ice one evening, so desk clerk, Sisi went next door to another hotel to get me some",29,1,0,0,0,0.8271,Good
Hot breakfast,2,0,0,0,0,0,Average
LOTS of choices/special touches  Fruit & nuts for the waffles,10,0,0,0,0,-0.3182,Worst
Right on I-35 but NO road noise,7,0,0,0,1,-0.5993,Worst
Negative: Had to pay $10 for parking here and other areas of the city because of rhigh crime rate,21,0,0,0,0,-0.8225,Worst
$30 in downtown or airport locations,7,0,0,0,0,0,Average
National Guard is helping!!,6,0,0,0,0,0.4184,Good
sleep & stay ruined bc staff incompetent with wake up call system,12,0,0,0,0,-0.7351,Worst
Positive: Good breakfast Negative: Funky smell in room,10,0,0,0,1,0.34,Worst
Fairfield by Marriott Inn & Suites Austin South ⭐️⭐️⭐️⭐️⭐️,0,0,0,0,0,0,Neutral
"Excellent location right off the highway, and interestingly, there are five Marriott properties lined up in this area",20,1,0,0,0,0.7506,Good
"This one doesn’t have a pool, but one of the nearby hotels does (and it’s heated), so check amenities if that’s important to you",34,0,0,0,0,0.296,Good
"The staff here is outstanding — kind, polite, and genuinely friendly",13,3,0,0,0,0.891,Good
"The hotel feels safe and secure, even with the visible homelessness that’s common throughout Austin",18,0,0,0,0,0.6486,Good
Free breakfast and $10/day parking make it a great value overall,12,2,0,0,0,0.8689,Good
"Great location that is about 10 mins from downtown Austin! The staff was nice, and able to communicate when I had questions, however at check in the girl didn’t give me my total price or break down what the extra charges were gonna be, so I was a little confused when I got charged an extra $150 but that was later confirmed to be the refundable fee that they give you once you check out just in case of damages",88,2,0,0,0,-0.4846,Good
"So just to be made aware this hotel does charge you and extra $50 a night, that you can get back later, but I just wasn’t told that at check in",36,0,0,0,0,0,Average
Other than that this place was great and really convenient,10,2,0,0,0,0.6249,Good
Being charged for a smoking fee,6,0,0,0,0,-0.2023,Worst
"I do not smoke ANYTHING, and got the feedback that all sensors are “100% accurate",18,0,0,0,0,0,Average
” I was right by the stairwell too which constantly smelled of smoke,13,0,0,0,0,0,Average
:( I am disappointed with this,7,0,0,0,1,-0.7184,Worst
Hoping when the manager calls me at 3 this will be resolved… especially since the reviews are flooded with similar responses,21,0,0,0,0,0.4215,Good
Air Conditioning had a heavy moldy smell coming from it,10,0,0,0,1,0,Worst
"Since I am here for Formula 1 and everything is sold out, was just stuck with this smell for the $500 a night charge",26,0,0,0,1,-0.25,Worst
Nice place and nice people,5,0,0,0,0,0.6808,Good
"Strangely, they charge for parking",6,0,0,0,0,-0.296,Worst
I-35 construction makes getting there a little troublesome,8,0,0,0,0,-0.4601,Worst
I was charged a smoking fee for my stay,9,0,0,0,0,-0.2023,Worst
I stayed at this hotel from 8/10-8/15,0,0,0,0,0,0,Neutral
When I first saw charges to my debit card it was a total of $842,16,0,0,0,0,-0.2732,Worst
50 hold,0,0,0,0,0,0,Neutral
When I called Kate couldn't answer my question so she transferred me to Amanda (hopefully I have order correct),22,0,0,0,0,0.4019,Good
"Anyways, it was incidentally $50 daily, I am not math wizard but isn't that $300? The manager then stated I am being charged a $350 smoking fee due to a sensor going off",40,0,0,0,0,-0.296,Worst
I do not smoke have never smoked and when I told her that she giggled and said it picks up vaping and Marijuana,23,0,0,0,0,0.3612,Good
Well I do not do that either,7,0,0,0,0,0.2732,Good
I am hoping they lose our business company wide,9,0,0,0,0,0.0258,Average
My neice has volunteered to go style her hair due to the fact the sensor went off at 5:07 am when she was getting ready for work,27,0,0,0,0,0.3612,Good
"Very aggravated! There response to me ""we have a strict 100% smoke free policy"" wish my neice would have worn a messy bun",27,0,0,0,1,-0.2926,Worst
because her hair really smokes when she blow dries it and straightens it!,14,0,0,0,0,0,Average
Horrible,1,0,0,0,1,-0.5423,Worst
"I enjoyed my stay UNTIL I realized 3 days after I left I received a $400 charge on my card for smoking in the room even though my husband and I did not smoke/vape, etc",37,1,0,0,0,0.5106,Good
They use these fake smoke detecting sensors to charge their loyal customers once they leave,15,0,0,0,0,-0.0516,Worst
Many other hotels that are doing this are being sued - look up the class action lawsuits about this,19,0,0,0,0,-0.1531,Worst
It's a straight up fraud,6,0,0,0,0,-0.4404,Worst
Will not return to another Marriot hotel because of this!,11,0,0,0,0,0,Average
"Staff were super attentive, courteous, respectful and friendly",10,2,0,0,0,0.9246,Good
"Someone had broken into our rented vehicle while we were at a tourist attraction and my bag was stolen, contents inclu",22,0,0,0,3,-0.5106,Worst
the key card to the hotel,6,0,0,0,0,0,Average
So I called the hotel to let them know to freeze the key cards,14,0,0,0,0,0.0516,Good
"When we got there they were attentive to what we may possibly need,incl",15,1,0,0,0,0,Good
walking over to the hotel next door so we could get a dark plastic trash bag to take over our broken window,22,0,0,0,1,-0.4767,Worst
Manager and her staff were very friendly,7,0,0,0,0,0.5413,Good
from the front desk to the maintenance staff,8,0,0,0,0,0,Average
It's freaking awesome,4,1,0,0,0,0.3182,Good
We had a great stay at Fairfield Inn & Suites South Austin,12,1,0,0,0,0.6249,Good
"From check-in to checkout, the service was smooth and welcoming",11,1,0,0,0,0.4404,Good
"The front desk staff was polite and attentive, always ready to help with any questions or needs we had",20,2,0,0,0,0.6369,Good
"The room was clean, spacious, and well-maintained",9,2,0,0,0,0.4019,Good
"The beds were very comfortable, and we appreciated the modern furnishings and thoughtful layout",15,2,0,0,0,0.8588,Good
"The air conditioning worked perfectly—especially important during the Texas heat! There was also a good-sized desk, which made it convenient for catching up on some work",30,1,0,0,0,0.2714,Good
One of the highlights was the complimentary breakfast,8,0,0,0,0,0.4404,Good
"It included a variety of hot and cold options—scrambled eggs, sausage, waffles, fresh fruit, and yogurt—something for everyone",26,1,0,0,0,0.3182,Good
The breakfast area was clean and restocked regularly,8,1,0,0,0,0.4019,Good
"The hotel also has a small fitness center and indoor pool, both of which were well-kept",17,0,0,0,0,0.2732,Good
"Parking was easy and free, and the location is convenient—close to downtown Austin, but far enough to avoid the noise and crowds",26,1,0,0,2,0.0772,Worst
"It’s also close to major highways, so getting around the city was a breeze",17,0,0,0,0,0,Average
"Overall, this Fairfield Inn exceeded expectations",7,0,0,0,0,0,Average
"It’s a reliable, comfortable place to stay in South Austin and we would definitely return on our next visit",22,1,0,0,0,0.7184,Good
Was a decent stay until we got charged with a $350 smoking fee,14,0,1,0,0,-0.2023,Average
"We are non smokers, so seeing this i called and spoke to the manager in which she said “our detectors our always accurate therefore there’s nothing we can do to help” I asked for the report and there was twice were it was apparently detected, one at 2:30 AM ( which we were asleep for ) and 11:39 AM, which we were probably already gone or leaving at that point",77,0,0,0,0,0,Average
Fairly unimpressed and quite frustrated,5,0,0,0,0,-0.7264,Worst
i was with 3 other friends that don’t want to help me pay for this because it was on my card,23,0,0,0,0,0.6908,Good
Never will i ever be staying here again,8,0,0,0,0,0,Average
I’ll sleep outside in the floods next time,10,0,0,0,0,0,Average
Room was clean and had all the amenities advertised,9,1,0,0,0,0.4019,Good
Breakfast in the morning was the best seen in our travels this year,13,1,0,0,0,0.6369,Good
Staff was top-notch,3,0,0,0,0,0,Average
Always willing to help and smiling,6,0,0,0,0,0.6908,Good
Location gives easy access to downtown Austin and restaurants are close by so travel can be minimal,17,0,0,0,0,0.4404,Good
Positive: Friendly staff Negative: Airport shuttle will be a great amenity,13,2,0,0,0,0.802,Good
"So who charges $10 a day for an open parking lot? No pool, and all sorts of extra charges even for Marriott employees and family",28,0,0,0,0,-0.6887,Worst
Evening desk staff was inconvenienced when questioned,7,0,0,0,0,-0.1027,Worst
"Only high point of the trip was at breakfast the following morning, the new GM arrived and watching his interactions with the staff was refreshing",26,0,0,0,0,0,Average
Also have to like him because he hates the limp microwaved bacon too,13,0,0,0,0,-0.1027,Worst
"Caroline was Awesome, she went above and beyond to meet our needs",13,1,0,0,0,0.6249,Good
It means so much to be in a comfortable sleeping environment,11,1,0,0,0,0.5106,Good
She was very caring,4,0,0,0,0,0.5413,Good
"Thank you Caroline, we appreciate your service||The Kirklins||Date stayed 6-12 and 6-13||Fairfield I35 South Austin||||Also Sisi was Awesome, she serviced us before, Always appreciate good customer service, we stay at this location often, Thank you, The Kirklins",43,1,0,0,0,0.9468,Good
I stayed here while on a one-week business trip to Austin,11,0,0,0,0,0,Average
The hotel is clean and well-maintained,6,1,0,0,0,0.4019,Good
I found the breakfast to be satisfactory,7,0,1,0,0,0.3612,Average
Special shoutout to the front desk staff for helping me figure out the app to pay for laundry,18,0,0,0,0,0.5423,Good
(I can't remember the name of the woman who helped me specifically unfortunately),16,0,0,0,0,-0.34,Worst
||One note of caution is that the location is not the most convenient,13,1,0,0,0,0,Good
"Restaurants and shopping are located on the opposite side of the interstate, which is a pain to get to because of Texas's weird frontage road system",28,0,0,0,0,-0.6124,Worst
"I did find the access to the downtown easy for my business, however",14,0,0,0,0,0.4404,Good
"All in all, I would likely stay here again, because it is one the most affordable places I have found in Austin",24,1,0,0,0,0,Good
Positive: It was an affordable price,7,1,0,0,0,0.5574,Good
Negative: Room,3,0,0,0,0,-0.5719,Worst
This will be my last stay here at Fairfield south,10,0,0,0,0,0,Average
"While the staff has always been nice here, the key things are missing :",15,0,0,0,0,0.1531,Good
"AC that goes below 68, anyone who sleeps hot, menopause ladies, pregnant ladies, or chronic illness warriors can’t survive in such warm Night time temperatures",31,0,0,0,0,-0.2023,Worst
It’s locked to stay at 68 or higher,10,0,0,0,0,0,Average
I woke up roasting,4,0,0,0,0,0,Average
Black out curtains are too short so the room lights up in the morning,14,0,0,0,0,0,Average
I noticed a smell that the longer I was there I realized was a huge red flag- urine or mold… it was faint and doable but not something I’d pay to stay in again,36,0,0,0,1,0.2718,Worst
Bathtub water is lukewarm- not hot water,7,0,0,0,0,0,Average
Small but a big deal if you’re mobility challenged- keep your phones on the end table by the bed! Not far away on the desk!,29,0,0,0,0,-0.2924,Worst
They now charge for parking- kind of ridiculous considering this is about 15 min south of downtown and there was ample parking space,23,1,0,0,0,-0.4201,Good
"Also one more bummer is they charge you $20 to use you points ! At least they offer a rewards program, but it kind of feels weird to have to pay to use it?",37,1,0,0,0,-0.4288,Good
Overall I’m noticing better stays at other Marriott’s or other competitors,15,0,0,0,0,0.4404,Good
"I couldn't handle my liquor and threw up in lobby restroom on accident, Amanda and the manager were very helpful, understanding and assured me that it's ok not to worry even though I offered to clean up, the manager was concerned for my well-being and gave me water, over all very good guest services and very good breakfast",64,2,1,0,0,0.9358,Good
Choose this place! They have breakfast!lol,9,0,0,0,0,0,Average
This is a fantastic place to sleep,7,1,0,0,0,0.5574,Good
I loved it!  Rooms were clean and smelled really nice,11,2,0,0,0,0.8746,Good
Leo’s hospitality after a late night outing was amazing! He provided a quiet and comfortable space for my party to enjoy each other’s company before heading to bed,33,3,0,0,0,0.923,Good
"It was such a wonderful time, and I can’t wait to come back",16,1,0,0,0,0.5719,Good
Definitely an incredible experience!,5,0,0,0,0,0.4574,Good
Terrible experience – misleading charges and rude staff,8,0,0,0,3,-0.872,Worst
I was lied to just to be charged an extra $10,12,0,0,0,0,-0.5267,Worst
"I was told this charge was for “incidentals,” but it was actually applied to parking – which they explicitly told me was free when I asked",29,0,0,0,0,0.6652,Good
This is completely dishonest,4,0,0,0,0,-0.6115,Worst
"When I called to ask about it, the staff was extremely rude and unhelpful",15,0,0,0,1,-0.5095,Worst
"On top of that, the room smelled bad and was not at all comfortable",15,1,0,0,0,-0.6599,Good
Do yourself a favor and avoid this place,8,0,0,0,1,0.128,Worst
I will never stay here again,6,0,0,0,0,0,Average
$10 to park,0,0,0,0,0,0,Neutral
Hotel is ok,3,0,1,0,0,0.296,Average
Polecam,1,0,0,0,0,0,Average
“Mailbox is full and cannot accept any new messages”,12,0,0,0,0,-0.2924,Worst
Good luck trying to contact this hotel,7,0,0,0,0,0.7096,Good
Not a single way to get through to them because NO ONE ANSWERS THE PHONE - it goes straight to voicemail on the first ring,25,0,0,0,0,-0.2577,Worst
Even the Marriott customer service line was unable to give a phone number that is answered,16,0,0,0,0,0.0772,Good
Is anyone even at the location?,7,0,0,0,0,0,Average
"My flight was cancelled and had to stay in Austin on February 19, 2025",15,0,0,0,0,-0.25,Worst
"I was treated great by Conner, the front desk clerk",11,1,0,0,0,0.6249,Good
There was no coffee or anything else for that matter available in the lobby at 8:00,16,0,0,0,0,-0.25,Worst
The traffic noise in the room was horrible and the furnace did not keep up with the cold as the thermostat would only go so high,26,0,0,0,2,-0.5423,Worst
The late night desk clerk was deplorable and unfriendly,9,0,0,0,0,-0.3612,Worst
"When asked a question if there was any coffee or other available at 5:30 am, I was informed breakfast was at 6:30",23,0,0,0,0,0,Average
LAZY clerks,2,0,0,0,0,-0.4995,Worst
"Come on!  I had way better service at the Fredericksburg Fairfield! For $170 a night, I expected way better service",24,0,0,0,0,0.7494,Good
Won't be staying there again,6,0,0,0,0,0,Average
Great hotel with excellent rooms and a decent location (I stayed here as a coach for a soccer tournament),21,2,1,0,0,0.8316,Good
"However, I’m giving a lower rating for service, as the food was lacking",17,0,0,1.5,0,0.0516,Medium
"For someone with allergies, I expected more variety—such as sausage and potatoes—rather than just bacon",20,0,0,0,0,0,Average
"Leo was super helpful on December 15, Sunday morning! We had a very early flight and he made us a pot of coffee at 4:30 AM",28,1,0,0,0,0.7901,Good
It was extremely thoughtful and exactly what we needed to get ready that morning!|We enjoyed our weekend and felt very relaxed at the Austin south Fairfield Inn!|Thank you so much Leo,35,1,0,0,0,0.9148,Good
Conor in Austin at 4525 S,0,0,0,0,0,0,Neutral
"IH 35,  was always very cheerful and very helpful i would recommend Anyone to stay at the Fairfield by Marriott",21,2,0,0,0,0.855,Good
|    If u need anything from fresh towels to where the best place to dine is,16,2,0,0,0,0.7579,Good
Just ask Conor he is a man of tue city,10,0,0,0,0,0,Average
I wish I could give negative stars,7,0,0,0,0,-0.25,Worst
"The hotel is fine, perfectly mediocre Fairfield inn",9,0,1,1.5,0,0.7184,Medium
it is the staff and management that is the issue,10,0,0,0,1,0,Worst
"We stayed for 2 nights, at $139/night",0,0,0,0,0,0,Neutral
We were charged $301 AND an addition $139 charge separately,12,0,0,0,0,-0.2023,Worst
"The hotel refuses to adjust or fix this, and has left the $301 charge pending for 2 weeks and counting",22,0,0,0,0,0,Average
"They charged the entire stay under an incidental hold (their error, this is not our banks error as they keep trying to claim) this is incompetence on the hotel side",33,0,0,0,0,-0.6749,Worst
They have failed to release or complete the charge (bank provided proof of this) they also will not issue a refund,23,0,0,0,1,-0.5106,Worst
We are currently out nearly $440 for what should have been a $280 stay,16,0,0,0,0,0,Average
"All they can say is “it’s not our fault” when it is in fact, very much, their fault",24,0,0,0,0,-0.4522,Worst
Terrible customer service,3,0,0,0,1,-0.4767,Worst
Do not stay here,4,0,0,0,0,0,Average
Connor at the front desk is a complete professional,9,1,0,0,0,0,Good
He was able to accommodate all requests,7,0,0,0,0,0,Average
Very clean hotel and nice rooms! The proximity to the freeway is great for any business related travel,19,2,0,0,0,0.8856,Good
Definitely would recommend staying here,5,1,0,0,0,0.6369,Good
The staff is incompetent,4,0,0,0,0,-0.4767,Worst
We were over charged for a recent stay and the hotel refuses to fix it on their end,18,0,0,0,0,-0.2023,Worst
DO NOT STAY HERE,4,0,0,0,0,0,Average
"They will not release the charge, so the bank can’t take action, but the money is removed from our available balance, they will not fix it",31,0,0,0,0,0,Average
"It’s been almost 2 weeks, that is a long time to hold a pending charge on the account",21,0,0,0,0,0,Average
Conor was so friendly as soon as we arrived,9,0,0,0,0,0.6269,Good
We had just driven over 7 hours and it was nice to arrive to a smile,16,0,0,0,0,0.6486,Good
He was very helpful with food selections in the area,10,1,0,0,0,0.4754,Good
Conor also made sure we had signed up to receive Marriott points,12,0,0,0,0,0.3182,Good
He was very accommodating and offered an extra blanket,9,1,0,0,0,0,Good
Conor was so inviting and welcomed us into Fairfield,9,0,0,0,0,0.6863,Good
He made us feel at home,6,0,0,0,0,0,Average
We will definitely be returning to Fairfield,7,0,0,0,0,0.4019,Good
This is our second visit to Fairfield,7,0,0,0,0,0,Average
Atlantis chill everybody's so nice the food's really good,11,0,0,0,0,0.7788,Good
I mean it's normally like,6,0,0,0,0,0.3612,Good
This was the worst stay ever at a Fairfield,9,0,0,0,1,-0.6249,Worst
It doesn’t matter what your Marriott status is because you’ll be treated the same as someone who’s not a member,26,0,0,0,0,0.0258,Average
Never again nor do I recommend,6,1,0,0,1,-0.2755,Good
Loud highway next to hotel,5,0,0,0,0,0,Average
"Our stay at the Fairfield Inn in Austin, Texas, was exceptional! From the moment we arrived, we were greeted by a gentleman who provided excellent customer service, explaining everything about the pool and our stay",40,2,0,0,0,0.7263,Good
"The room was super clean, incredibly comfortable, and the hotel’s location was perfect—just minutes from downtown Austin at half the price of other downtown hotels",31,3,0,0,0,0.8805,Good
"After a late night out, we were warmly greeted again, which made us feel so welcome",18,0,0,0,0,0.8256,Good
"The host even extended our checkout time to 12:30 without us knowing it was an option, which was a pleasant surprise",22,1,0,0,0,0.6597,Good
"Highly recommend this hotel for its cleanliness, comfort, and outstanding service!",14,3,0,0,0,0.862,Good
Had a trip to Austin this weekend,7,0,0,0,0,0,Average
Conor at the front desk was very friendly and always made sure we had everything we needed,17,0,0,0,0,0.6997,Good
"Even though we only saw him a couple times when leaving and coming back to the hotel, he made the stay even better",24,0,0,0,0,0.4404,Good
Deserves a raise for sure,5,0,0,0,0,0.3182,Good
"Had a really good time this weekend, the front desk assistant Conor was amazing!",16,1,0,0,0,0.8066,Good
"They offered bottled water replenishment upon arrival, then told me We had to buy it",16,0,0,0,0,0,Average
Also offered daily housekeeping then did not show up,9,0,0,0,0,0,Average
"Decent room for the price, also really grateful for the late checkout today, otherwise I wouldn't have had time to shower and charge my phone before going to the airport after working this morning, the breakfast is good decent",43,0,2,0,0,0.7346,Average
"It was one of the most AMAZING experiences I've had in DECADES, and I travel a lot",19,1,0,0,0,0.7028,Good
The staff is extremely helpful,5,1,0,0,0,0.4754,Good
LEO ESTEP is an awesome employee,6,1,0,0,0,0.6249,Good
They need more like him,5,0,0,0,0,0.4201,Good
"Whenever I come to visit AUSTIN TEXAS, I'M COMING HERE",12,0,0,0,0,0,Average
"Godspeed, everyone!!!",6,0,0,0,0,0,Average
Stay here frequently and always very clean,7,1,0,0,0,0.4576,Good
The front desk clerks are always very helpful and accommodating,10,2,0,0,0,0.4754,Good
"But special recognition to Ava, who really helped me recently when I needed it!",16,0,0,0,0,0.5916,Good
Great location and the staff at the front desk were excellent,11,3,0,0,0,0.8316,Good
Great attitudes and knowledgeable of places to eat and places to drink and hear music,15,1,0,0,0,0.6249,Good
Room was very clean and the housekeeping staff were great at their job,13,2,0,0,0,0.796,Good
Thank you to Sisi and Ray at the front desk,10,0,0,0,0,0.3612,Good
Very accommodating and helpful during my stay,7,2,0,0,0,0.4703,Good
Anything I needed or any questions I had they were there to assist,13,0,0,0,0,0,Average
Provided me with great places to eat and places for entertainment while I was in town,16,1,0,0,0,0.7845,Good
"Sisi is the best and speak spanish, the instalation is very nice room 218|Todos los empleados son muy amables tanto recepción como cocina limpieza y mantenimiento solo los tacos del billar necesitan reemplazarse, y más variedad en la tienda",41,1,0,0,0,0.807,Good
Rooms were clean but mine smelled like cigarette smoke,9,1,0,0,0,0.6249,Good
The staff were friendly and helpful,6,1,0,0,0,0.7184,Good
Location was near the airport but had very little food options nearby,12,0,0,0,0,0,Average
Overall it was sufficient but not the best experience,9,1,0,0,0,-0.6759,Good
The front desk ladies were incredibly nice upon check-in,9,0,0,0,0,0.4754,Good
The entire experience was pretty nice,6,0,0,0,0,0.7184,Good
"On our 3rd day, we came back to our room in the middle of the day to see our door was open",23,0,0,0,0,0,Average
When we walked in there was a maintenance man going from our room to the adjoining room fixing a leak,20,0,0,0,0,-0.34,Worst
"There were multiple fans set up, our beds and property were moved and several of our items were wet",20,0,0,0,0,0,Average
When I called the front desk I was told there was a leak and we’d have to move,20,0,0,0,0,-0.34,Worst
"We were never called before this, nor do we know how long our room was left open and if it was monitored the whole time or not",28,0,0,0,0,0,Average
"Our second room had a musty smell when the AC turned on, but we were leaving the next day and I didn’t want to move again",29,0,0,0,1,0.1154,Worst
"I was given points, but I do not stay enough to ever use them",15,0,0,0,0,0,Average
I will definitely not stay here again if I visit Austin again,12,0,0,0,0,0.4019,Good
Olivia at this location was great to work with at check in,12,1,0,0,0,0.6249,Good
The stay was great and we had no issues,9,1,0,1.5,1,0.4404,Medium
Rooms are a little small but pretty clean,8,1,0,0,0,0.8154,Good
Layout of room feels like a Courtyard,7,0,0,0,0,0.3612,Good
Also along a main road so depending on room location and if you’re a light sleeper worth a consideration,21,1,0,0,0,0.2263,Good
Service is absolutely standard out,5,0,1,0,0,0,Average
Everyone I spoke to was so pleasant and helpful and I’d consider a return here when in town based on the service alone,25,2,0,0,0,0.7434,Good
Stay was amazing…,3,0,0,0,0,0,Average
The rooms were clean and nice…at check in the agent Olivia was super friendly and attentive,16,2,0,0,0,0.8689,Good
Her hospitality is top notch,5,0,0,0,0,0.2023,Good
Will be back if ever in Austin again,8,0,0,0,0,0,Average
I was super impressed with this location’s front desk assistants,12,1,0,0,0,0.7906,Good
"First of all, Olivia was such a an amazing team player that I felt the need to share my experience!",22,1,0,0,0,0.7424,Good
"From the moment we arrived to the front desk, Olivia came fast with a vacuum on hand! She was cleaning apparently from some construction but she had the lobby smelling great we didn’t even noticed! She again was amazing at checking and was impressed how she was going the extra mile to ensure we felt welcomed!",62,3,0,0,0,0.9791,Good
"And to top it off, we had a friend meet us at the hotel and when we came dow to the lobby, Olivia had already greeted them with a bottle of water making us feel much more appreciated of her work ethic!",45,0,0,0,0,0.8775,Good
It’s those personal touches in your staff that makes our stay worth it!,16,1,0,0,0,0.2942,Good
"Again, such a great stay!",7,1,0,0,0,0.6588,Good
Olivia at the front desk was amazing,7,1,0,0,0,0.5859,Good
If you want to sleep with the cockroaches this is the place for you,14,0,0,0,0,0.0772,Good
If you want to be ignored by management about your concerns this is definitely the place for you to stay,20,0,0,0,0,0.1779,Good
So disgusting beyond belief,4,0,0,0,0,-0.5709,Worst
Stay far away from this hotel,6,0,0,0,0,0,Average
This was the perfect hotel for our work trip,9,1,0,0,0,0.5719,Good
"We stayed in a 1-bedroom suite and the layout of the room was great for me, who woke up early, and my wife, who slept longer",29,1,0,0,0,0.6249,Good
The bathroom was separated by the living area from the bedroom,11,0,0,0,0,0,Average
Our only complaint was the tiny refrigerator,7,0,0,0,0,-0.296,Worst
Great rooms,2,1,0,0,0,0.6249,Good
The only problem was that it shows on the website and the pictures on google that there’s a pool but they actually don’t have one,29,0,0,0,1,-0.2144,Worst
A bummer,2,0,0,0,0,-0.3818,Worst
The manager was very nice during checkout and resolved my situation,11,0,0,0,0,0.5849,Good
Would stay again rooms were clean,6,2,0,0,0,0.4019,Good
Good breakfast and attentive staff,5,1,0,0,0,0.4404,Good
Clean room good service,4,2,0,0,0,0.6808,Good
Shout out to asst,4,0,0,0,0,0,Average
general manager Ava for being extra hospitable,7,0,0,0,0,0,Average
The place closed down during my stay for renovations but Ava took care to book me in the next hotel,20,0,0,0,0,0.6486,Good
She also asked many times how my stay was and how I was doing,14,0,0,0,0,0,Average
The rooms are spacious and luxurious like any Marriott,9,2,0,0,0,0.3612,Good
"Free parking and breakfast is available, something which other Marriotts need to implement as standard",16,0,1,0,0,0.5106,Average
You are getting a lot for your money,8,0,0,0,0,0,Average
Service by great workers,4,1,0,0,0,0.6249,Good
I want to give 2 thumbs up for Olivia,9,0,0,0,0,0.0772,Good
On my first day here,5,0,0,0,0,0,Average
I have a reservation issue,5,0,0,0,1,0,Worst
she took the time and patiently explained it to me,10,0,0,0,0,0,Average
I have stayed 11 days,5,0,0,0,0,0,Average
Love it,2,1,0,0,0,0.6369,Good
Ava and Ashala were amazing from the time of check-in,10,1,0,0,0,0.5859,Good
They were speedy and very professional,6,1,0,0,0,0,Good
Ava did a great job of providing me with a welcome letter and great food recommendations,16,2,0,0,0,0.9042,Good
"😊 The rooms at the Fairfield are spacious, clean, and very well kept",15,2,0,0,0,0.8777,Good
10-Oct,0,0,0,0,0,0,Neutral
The room and parking was fine,6,0,1,0,0,0.2023,Average
Included breakfast was a bonus,5,0,0,0,0,0.5423,Good
But not having a working toilet was a serious problem,10,0,0,0,1,-0.6124,Worst
When we informed the front desk on a Saturday morning on our way out for the day,17,0,0,0,0,0,Average
(the front desk girl said she’s call someone right away),14,0,0,0,0,0,Average
we returned that evening (at least 10 hours later),11,0,0,0,0,0,Average
to find the toilet in the same inoperable condition,9,0,0,0,0,0,Average
We were then further inconvenienced by having to wait for the desk to page a repairman who finally came and spent time “fixing it,25,0,0,0,0,0,Average
” It took at least an hour and we managed to get 2 flushed in before it broke again,19,0,0,0,0,-0.4215,Worst
When management followed up with us,6,0,0,0,0,0,Average
they said “thanks for the feedback,7,0,0,0,0,0,Average
Too bad,2,0,0,0,0,-0.5423,Worst
the location was great but with such a lousy attitude from management,12,1,0,0,0,-0.4939,Good
I’ll find another hotel,6,0,0,0,0,0,Average
I expected more from a Marriott property,7,0,0,0,0,0,Average
"Horrible experience, I called to try an make a reservation over the phone",14,0,0,0,2,-0.5423,Worst
The lady was extremely rude for no reason she didn’t know what the check out time was… knowing basic hotel Information is kinda the point of working at the front desk or booking department,36,0,1,0,1,-0.6962,Average
I believe some training might do this place justice,9,0,0,0,0,0.5267,Good
