review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,predicted_sentiment
horrible,1,0,0,0.0,1,Worst,Worst
i enjoyed my stay until i realized days after i left i received a charge on my card for smoking in the room even though my husband and i did not smokevape etc,37,1,0,0.0,0,Good,Good
they use these fake smoke detecting sensors to charge their loyal customers once they leave,15,0,0,0.0,0,Worst,Worst
many other hotels that are doing this are being sued look up the class action lawsuits about this,19,0,0,0.0,0,Worst,Average
its a straight up fraud,6,0,0,0.0,0,Worst,Average
will not return to another marriot hotel because of this,11,0,0,0.0,0,Average,Average
staff were super attentive courteous respectful and friendly,10,2,0,0.0,0,Good,Good
someone had broken into our rented vehicle while we were at a tourist attraction and my bag was stolen contents inclu,22,0,0,0.0,3,Worst,Worst
the key card to the hotel,6,0,0,0.0,0,Average,Average
so i called the hotel to let them know to freeze the key cards,14,0,0,0.0,0,Good,Average
when we got there they were attentive to what we may possibly needincl,15,1,0,0.0,0,Good,Good
walking over to the hotel next door so we could get a dark plastic trash bag to take over our broken window,22,0,0,0.0,1,Worst,Worst
manager and her staff were very friendly,7,0,0,0.0,0,Good,Good
from the front desk to the maintenance staff,8,0,0,0.0,0,Average,Average
its freaking awesome,4,1,0,0.0,0,Good,Good
we had a great stay at fairfield inn suites south austin,12,1,0,0.0,0,Good,Good
from checkin to checkout the service was smooth and welcoming,11,1,0,0.0,0,Good,Good
the front desk staff was polite and attentive always ready to help with any questions or needs we had,20,2,0,0.0,0,Good,Good
the room was clean spacious and wellmaintained,9,2,0,0.0,0,Good,Good
the beds were very comfortable and we appreciated the modern furnishings and thoughtful layout,15,2,0,0.0,0,Good,Good
the air conditioning worked perfectly—especially important during the texas heat there was also a goodsized desk which made it convenient for catching up on some work,30,1,0,0.0,0,Good,Good
one of the highlights was the complimentary breakfast,8,0,0,0.0,0,Good,Good
it included a variety of hot and cold options—scrambled eggs sausage waffles fresh fruit and yogurt—something for everyone,26,1,0,0.0,0,Good,Good
the breakfast area was clean and restocked regularly,8,1,0,0.0,0,Good,Good
the hotel also has a small fitness center and indoor pool both of which were wellkept,17,0,0,0.0,0,Good,Good
parking was easy and free and the location is convenient—close to downtown austin but far enough to avoid the noise and crowds,26,1,0,0.0,2,Worst,Worst
it’s also close to major highways so getting around the city was a breeze,17,0,0,0.0,0,Average,Average
overall this fairfield inn exceeded expectations,7,0,0,0.0,0,Average,Average
it’s a reliable comfortable place to stay in south austin and we would definitely return on our next visit,22,1,0,0.0,0,Good,Good
was a decent stay until we got charged with a smoking fee,14,0,1,0.0,0,Average,Average
we are non smokers so seeing this i called and spoke to the manager in which she said “our detectors our always accurate therefore there’s nothing we can do to help” i asked for the report and there was twice were it was apparently detected one at am which we were asleep for and am which we were probably already gone or leaving at that point,77,0,0,0.0,0,Average,Good
fairly unimpressed and quite frustrated,5,0,0,0.0,0,Worst,Average
i was with other friends that don’t want to help me pay for this because it was on my card,23,0,0,0.0,0,Good,Good
never will i ever be staying here again,8,0,0,0.0,0,Average,Average
i’ll sleep outside in the floods next time,10,0,0,0.0,0,Average,Average
room was clean and had all the amenities advertised,9,1,0,0.0,0,Good,Good
breakfast in the morning was the best seen in our travels this year,13,1,0,0.0,0,Good,Good
staff was topnotch,3,0,0,0.0,0,Average,Average
always willing to help and smiling,6,0,0,0.0,0,Good,Good
location gives easy access to downtown austin and restaurants are close by so travel can be minimal,17,0,0,0.0,0,Good,Good
positive friendly staff negative airport shuttle will be a great amenity,13,2,0,0.0,0,Good,Good
so who charges a day for an open parking lot no pool and all sorts of extra charges even for marriott employees and family,28,0,0,0.0,0,Worst,Worst
evening desk staff was inconvenienced when questioned,7,0,0,0.0,0,Worst,Average
only high point of the trip was at breakfast the following morning the new gm arrived and watching his interactions with the staff was refreshing,26,0,0,0.0,0,Average,Average
also have to like him because he hates the limp microwaved bacon too,13,0,0,0.0,0,Worst,Good
caroline was awesome she went above and beyond to meet our needs,13,1,0,0.0,0,Good,Good
it means so much to be in a comfortable sleeping environment,11,1,0,0.0,0,Good,Good
she was very caring,4,0,0,0.0,0,Good,Average
thank you caroline we appreciate your servicethe kirklinsdate stayed and fairfield i south austinalso sisi was awesome she serviced us before always appreciate good customer service we stay at this location often thank you the kirklins,43,1,0,0.0,0,Good,Good
i stayed here while on a oneweek business trip to austin,11,0,0,0.0,0,Average,Average
the hotel is clean and wellmaintained,6,1,0,0.0,0,Good,Good
i found the breakfast to be satisfactory,7,0,1,0.0,0,Average,Average
special shoutout to the front desk staff for helping me figure out the app to pay for laundry,18,0,0,0.0,0,Good,Good
i cant remember the name of the woman who helped me specifically unfortunately,16,0,0,0.0,0,Worst,Worst
one note of caution is that the location is not the most convenient,13,1,0,0.0,0,Good,Good
restaurants and shopping are located on the opposite side of the interstate which is a pain to get to because of texass weird frontage road system,28,0,0,0.0,0,Worst,Average
i did find the access to the downtown easy for my business however,14,0,0,0.0,0,Good,Good
all in all i would likely stay here again because it is one the most affordable places i have found in austin,24,1,0,0.0,0,Good,Good
positive it was an affordable price,7,1,0,0.0,0,Good,Good
negative room,3,0,0,0.0,0,Worst,Worst
this will be my last stay here at fairfield south,10,0,0,0.0,0,Average,Average
while the staff has always been nice here the key things are missing,15,0,0,0.0,0,Good,Good
ac that goes below anyone who sleeps hot menopause ladies pregnant ladies or chronic illness warriors can’t survive in such warm night time temperatures,31,0,0,0.0,0,Worst,Good
it’s locked to stay at or higher,10,0,0,0.0,0,Average,Average
i woke up roasting,4,0,0,0.0,0,Average,Average
black out curtains are too short so the room lights up in the morning,14,0,0,0.0,0,Average,Average
i noticed a smell that the longer i was there i realized was a huge red flag urine or mold… it was faint and doable but not something i’d pay to stay in again,36,0,0,0.0,1,Worst,Worst
bathtub water is lukewarm not hot water,7,0,0,0.0,0,Average,Average
small but a big deal if you’re mobility challenged keep your phones on the end table by the bed not far away on the desk,29,0,0,0.0,0,Worst,Average
they now charge for parking kind of ridiculous considering this is about min south of downtown and there was ample parking space,23,1,0,0.0,0,Good,Good
also one more bummer is they charge you to use you points at least they offer a rewards program but it kind of feels weird to have to pay to use it,37,1,0,0.0,0,Good,Good
overall i’m noticing better stays at other marriott’s or other competitors,15,0,0,0.0,0,Good,Good
i couldnt handle my liquor and threw up in lobby restroom on accident amanda and the manager were very helpful understanding and assured me that its ok not to worry even though i offered to clean up the manager was concerned for my wellbeing and gave me water over all very good guest services and very good breakfast,64,2,1,0.0,0,Good,Good
choose this place they have breakfastlol,9,0,0,0.0,0,Average,Average
this is a fantastic place to sleep,7,1,0,0.0,0,Good,Good
i loved it rooms were clean and smelled really nice,11,2,0,0.0,0,Good,Good
leo’s hospitality after a late night outing was amazing he provided a quiet and comfortable space for my party to enjoy each other’s company before heading to bed,33,3,0,0.0,0,Good,Good
it was such a wonderful time and i can’t wait to come back,16,1,0,0.0,0,Good,Good
definitely an incredible experience,5,0,0,0.0,0,Good,Good
terrible experience – misleading charges and rude staff,8,0,0,0.0,3,Worst,Worst
i was lied to just to be charged an extra,12,0,0,0.0,0,Worst,Worst
i was told this charge was for “incidentals” but it was actually applied to parking – which they explicitly told me was free when i asked,29,0,0,0.0,0,Good,Good
this is completely dishonest,4,0,0,0.0,0,Worst,Average
when i called to ask about it the staff was extremely rude and unhelpful,15,0,0,0.0,1,Worst,Worst
on top of that the room smelled bad and was not at all comfortable,15,1,0,0.0,0,Good,Good
do yourself a favor and avoid this place,8,0,0,0.0,1,Worst,Worst
i will never stay here again,6,0,0,0.0,0,Average,Average
to park,0,0,0,0.0,0,Neutral,Neutral
hotel is ok,3,0,1,0.0,0,Average,Average
polecam,1,0,0,0.0,0,Average,Average
“mailbox is full and cannot accept any new messages”,12,0,0,0.0,0,Worst,Average
good luck trying to contact this hotel,7,0,0,0.0,0,Good,Good
not a single way to get through to them because no one answers the phone it goes straight to voicemail on the first ring,25,0,0,0.0,0,Worst,Worst
even the marriott customer service line was unable to give a phone number that is answered,16,0,0,0.0,0,Good,Good
is anyone even at the location,7,0,0,0.0,0,Average,Average
my flight was cancelled and had to stay in austin on february,15,0,0,0.0,0,Worst,Worst
i was treated great by conner the front desk clerk,11,1,0,0.0,0,Good,Good
there was no coffee or anything else for that matter available in the lobby at,16,0,0,0.0,0,Worst,Worst
the traffic noise in the room was horrible and the furnace did not keep up with the cold as the thermostat would only go so high,26,0,0,0.0,2,Worst,Worst
the late night desk clerk was deplorable and unfriendly,9,0,0,0.0,0,Worst,Average
when asked a question if there was any coffee or other available at am i was informed breakfast was at,23,0,0,0.0,0,Average,Average
lazy clerks,2,0,0,0.0,0,Worst,Average
come on i had way better service at the fredericksburg fairfield for a night i expected way better service,24,0,0,0.0,0,Good,Good
wont be staying there again,6,0,0,0.0,0,Average,Average
great hotel with excellent rooms and a decent location i stayed here as a coach for a soccer tournament,21,2,1,0.0,0,Good,Good
however i’m giving a lower rating for service as the food was lacking,17,0,0,1.5,0,Medium,Medium
for someone with allergies i expected more variety—such as sausage and potatoes—rather than just bacon,20,0,0,0.0,0,Average,Average
leo was super helpful on december sunday morning we had a very early flight and he made us a pot of coffee at am,28,1,0,0.0,0,Good,Good
it was extremely thoughtful and exactly what we needed to get ready that morningwe enjoyed our weekend and felt very relaxed at the austin south fairfield innthank you so much leo,35,1,0,0.0,0,Good,Good
conor in austin at s,0,0,0,0.0,0,Neutral,Neutral
ih was always very cheerful and very helpful i would recommend anyone to stay at the fairfield by marriott,21,2,0,0.0,0,Good,Good
if u need anything from fresh towels to where the best place to dine is,16,2,0,0.0,0,Good,Good
just ask conor he is a man of tue city,10,0,0,0.0,0,Average,Average
i wish i could give negative stars,7,0,0,0.0,0,Worst,Worst
the hotel is fine perfectly mediocre fairfield inn,9,0,1,1.5,0,Medium,Medium
it is the staff and management that is the issue,10,0,0,0.0,1,Worst,Worst
we stayed for nights at night,0,0,0,0.0,0,Neutral,Neutral
we were charged and an addition charge separately,12,0,0,0.0,0,Worst,Worst
the hotel refuses to adjust or fix this and has left the charge pending for weeks and counting,22,0,0,0.0,0,Average,Average
they charged the entire stay under an incidental hold their error this is not our banks error as they keep trying to claim this is incompetence on the hotel side,33,0,0,0.0,0,Worst,Worst
they have failed to release or complete the charge bank provided proof of this they also will not issue a refund,23,0,0,0.0,1,Worst,Worst
we are currently out nearly for what should have been a stay,16,0,0,0.0,0,Average,Average
all they can say is “it’s not our fault” when it is in fact very much their fault,24,0,0,0.0,0,Worst,Worst
terrible customer service,3,0,0,0.0,1,Worst,Worst
do not stay here,4,0,0,0.0,0,Average,Average
connor at the front desk is a complete professional,9,1,0,0.0,0,Good,Good
he was able to accommodate all requests,7,0,0,0.0,0,Average,Average
very clean hotel and nice rooms the proximity to the freeway is great for any business related travel,19,2,0,0.0,0,Good,Good
definitely would recommend staying here,5,1,0,0.0,0,Good,Good
the staff is incompetent,4,0,0,0.0,0,Worst,Average
we were over charged for a recent stay and the hotel refuses to fix it on their end,18,0,0,0.0,0,Worst,Worst
do not stay here,4,0,0,0.0,0,Average,Average
they will not release the charge so the bank can’t take action but the money is removed from our available balance they will not fix it,31,0,0,0.0,0,Average,Average
it’s been almost weeks that is a long time to hold a pending charge on the account,21,0,0,0.0,0,Average,Average
conor was so friendly as soon as we arrived,9,0,0,0.0,0,Good,Good
we had just driven over hours and it was nice to arrive to a smile,16,0,0,0.0,0,Good,Good
he was very helpful with food selections in the area,10,1,0,0.0,0,Good,Good
conor also made sure we had signed up to receive marriott points,12,0,0,0.0,0,Good,Good
he was very accommodating and offered an extra blanket,9,1,0,0.0,0,Good,Good
conor was so inviting and welcomed us into fairfield,9,0,0,0.0,0,Good,Good
he made us feel at home,6,0,0,0.0,0,Average,Average
we will definitely be returning to fairfield,7,0,0,0.0,0,Good,Good
this is our second visit to fairfield,7,0,0,0.0,0,Average,Average
atlantis chill everybodys so nice the foods really good,11,0,0,0.0,0,Good,Good
i mean its normally like,6,0,0,0.0,0,Good,Good
this was the worst stay ever at a fairfield,9,0,0,0.0,1,Worst,Worst
it doesn’t matter what your marriott status is because you’ll be treated the same as someone who’s not a member,26,0,0,0.0,0,Average,Average
never again nor do i recommend,6,1,0,0.0,1,Good,Good
loud highway next to hotel,5,0,0,0.0,0,Average,Average
our stay at the fairfield inn in austin texas was exceptional from the moment we arrived we were greeted by a gentleman who provided excellent customer service explaining everything about the pool and our stay,40,2,0,0.0,0,Good,Good
the room was super clean incredibly comfortable and the hotel’s location was perfect—just minutes from downtown austin at half the price of other downtown hotels,31,3,0,0.0,0,Good,Good
after a late night out we were warmly greeted again which made us feel so welcome,18,0,0,0.0,0,Good,Good
the host even extended our checkout time to without us knowing it was an option which was a pleasant surprise,22,1,0,0.0,0,Good,Good
highly recommend this hotel for its cleanliness comfort and outstanding service,14,3,0,0.0,0,Good,Good
had a trip to austin this weekend,7,0,0,0.0,0,Average,Average
conor at the front desk was very friendly and always made sure we had everything we needed,17,0,0,0.0,0,Good,Good
even though we only saw him a couple times when leaving and coming back to the hotel he made the stay even better,24,0,0,0.0,0,Good,Good
deserves a raise for sure,5,0,0,0.0,0,Good,Good
had a really good time this weekend the front desk assistant conor was amazing,16,1,0,0.0,0,Good,Good
they offered bottled water replenishment upon arrival then told me we had to buy it,16,0,0,0.0,0,Average,Average
also offered daily housekeeping then did not show up,9,0,0,0.0,0,Average,Average
decent room for the price also really grateful for the late checkout today otherwise i wouldnt have had time to shower and charge my phone before going to the airport after working this morning the breakfast is good decent,43,0,2,0.0,0,Average,Average
it was one of the most amazing experiences ive had in decades and i travel a lot,19,1,0,0.0,0,Good,Good
the staff is extremely helpful,5,1,0,0.0,0,Good,Good
leo estep is an awesome employee,6,1,0,0.0,0,Good,Good
they need more like him,5,0,0,0.0,0,Good,Good
whenever i come to visit austin texas im coming here,12,0,0,0.0,0,Average,Average
godspeed everyone,6,0,0,0.0,0,Average,Average
stay here frequently and always very clean,7,1,0,0.0,0,Good,Good
the front desk clerks are always very helpful and accommodating,10,2,0,0.0,0,Good,Good
but special recognition to ava who really helped me recently when i needed it,16,0,0,0.0,0,Good,Good
great location and the staff at the front desk were excellent,11,3,0,0.0,0,Good,Good
great attitudes and knowledgeable of places to eat and places to drink and hear music,15,1,0,0.0,0,Good,Good
room was very clean and the housekeeping staff were great at their job,13,2,0,0.0,0,Good,Good
thank you to sisi and ray at the front desk,10,0,0,0.0,0,Good,Good
very accommodating and helpful during my stay,7,2,0,0.0,0,Good,Good
anything i needed or any questions i had they were there to assist,13,0,0,0.0,0,Average,Average
provided me with great places to eat and places for entertainment while i was in town,16,1,0,0.0,0,Good,Good
sisi is the best and speak spanish the instalation is very nice room todos los empleados son muy amables tanto recepción como cocina limpieza y mantenimiento solo los tacos del billar necesitan reemplazarse y más variedad en la tienda,41,1,0,0.0,0,Good,Good
rooms were clean but mine smelled like cigarette smoke,9,1,0,0.0,0,Good,Good
the staff were friendly and helpful,6,1,0,0.0,0,Good,Good
location was near the airport but had very little food options nearby,12,0,0,0.0,0,Average,Average
overall it was sufficient but not the best experience,9,1,0,0.0,0,Good,Good
the front desk ladies were incredibly nice upon checkin,9,0,0,0.0,0,Good,Good
the entire experience was pretty nice,6,0,0,0.0,0,Good,Good
on our rd day we came back to our room in the middle of the day to see our door was open,23,0,0,0.0,0,Average,Average
when we walked in there was a maintenance man going from our room to the adjoining room fixing a leak,20,0,0,0.0,0,Worst,Average
there were multiple fans set up our beds and property were moved and several of our items were wet,20,0,0,0.0,0,Average,Average
when i called the front desk i was told there was a leak and we’d have to move,20,0,0,0.0,0,Worst,Average
we were never called before this nor do we know how long our room was left open and if it was monitored the whole time or not,28,0,0,0.0,0,Average,Average
our second room had a musty smell when the ac turned on but we were leaving the next day and i didn’t want to move again,29,0,0,0.0,1,Worst,Worst
i was given points but i do not stay enough to ever use them,15,0,0,0.0,0,Average,Average
i will definitely not stay here again if i visit austin again,12,0,0,0.0,0,Good,Good
olivia at this location was great to work with at check in,12,1,0,0.0,0,Good,Good
the stay was great and we had no issues,9,1,0,1.5,1,Medium,Medium
rooms are a little small but pretty clean,8,1,0,0.0,0,Good,Good
layout of room feels like a courtyard,7,0,0,0.0,0,Good,Good
also along a main road so depending on room location and if you’re a light sleeper worth a consideration,21,1,0,0.0,0,Good,Good
service is absolutely standard out,5,0,1,0.0,0,Average,Average
everyone i spoke to was so pleasant and helpful and i’d consider a return here when in town based on the service alone,25,2,0,0.0,0,Good,Good
stay was amazing…,3,0,0,0.0,0,Average,Average
the rooms were clean and nice…at check in the agent olivia was super friendly and attentive,16,2,0,0.0,0,Good,Good
her hospitality is top notch,5,0,0,0.0,0,Good,Good
will be back if ever in austin again,8,0,0,0.0,0,Average,Average
i was super impressed with this location’s front desk assistants,12,1,0,0.0,0,Good,Good
first of all olivia was such a an amazing team player that i felt the need to share my experience,22,1,0,0.0,0,Good,Good
from the moment we arrived to the front desk olivia came fast with a vacuum on hand she was cleaning apparently from some construction but she had the lobby smelling great we didn’t even noticed she again was amazing at checking and was impressed how she was going the extra mile to ensure we felt welcomed,62,3,0,0.0,0,Good,Good
and to top it off we had a friend meet us at the hotel and when we came dow to the lobby olivia had already greeted them with a bottle of water making us feel much more appreciated of her work ethic,45,0,0,0.0,0,Good,Good
it’s those personal touches in your staff that makes our stay worth it,16,1,0,0.0,0,Good,Good
again such a great stay,7,1,0,0.0,0,Good,Good
olivia at the front desk was amazing,7,1,0,0.0,0,Good,Good
if you want to sleep with the cockroaches this is the place for you,14,0,0,0.0,0,Good,Good
if you want to be ignored by management about your concerns this is definitely the place for you to stay,20,0,0,0.0,0,Good,Good
so disgusting beyond belief,4,0,0,0.0,0,Worst,Worst
stay far away from this hotel,6,0,0,0.0,0,Average,Average
this was the perfect hotel for our work trip,9,1,0,0.0,0,Good,Good
we stayed in a bedroom suite and the layout of the room was great for me who woke up early and my wife who slept longer,29,1,0,0.0,0,Good,Good
the bathroom was separated by the living area from the bedroom,11,0,0,0.0,0,Average,Average
our only complaint was the tiny refrigerator,7,0,0,0.0,0,Worst,Worst
great rooms,2,1,0,0.0,0,Good,Good
the only problem was that it shows on the website and the pictures on google that there’s a pool but they actually don’t have one,29,0,0,0.0,1,Worst,Worst
a bummer,2,0,0,0.0,0,Worst,Average
the manager was very nice during checkout and resolved my situation,11,0,0,0.0,0,Good,Good
would stay again rooms were clean,6,2,0,0.0,0,Good,Good
good breakfast and attentive staff,5,1,0,0.0,0,Good,Good
clean room good service,4,2,0,0.0,0,Good,Good
shout out to asst,4,0,0,0.0,0,Average,Average
general manager ava for being extra hospitable,7,0,0,0.0,0,Average,Average
the place closed down during my stay for renovations but ava took care to book me in the next hotel,20,0,0,0.0,0,Good,Good
she also asked many times how my stay was and how i was doing,14,0,0,0.0,0,Average,Average
the rooms are spacious and luxurious like any marriott,9,2,0,0.0,0,Good,Good
free parking and breakfast is available something which other marriotts need to implement as standard,16,0,1,0.0,0,Average,Average
you are getting a lot for your money,8,0,0,0.0,0,Average,Average
service by great workers,4,1,0,0.0,0,Good,Good
i want to give thumbs up for olivia,9,0,0,0.0,0,Good,Good
on my first day here,5,0,0,0.0,0,Average,Average
i have a reservation issue,5,0,0,0.0,1,Worst,Worst
she took the time and patiently explained it to me,10,0,0,0.0,0,Average,Average
i have stayed days,5,0,0,0.0,0,Average,Average
love it,2,1,0,0.0,0,Good,Good
ava and ashala were amazing from the time of checkin,10,1,0,0.0,0,Good,Good
they were speedy and very professional,6,1,0,0.0,0,Good,Good
ava did a great job of providing me with a welcome letter and great food recommendations,16,2,0,0.0,0,Good,Good
😊 the rooms at the fairfield are spacious clean and very well kept,15,2,0,0.0,0,Good,Good
oct,0,0,0,0.0,0,Neutral,Neutral
the room and parking was fine,6,0,1,0.0,0,Average,Average
included breakfast was a bonus,5,0,0,0.0,0,Good,Average
but not having a working toilet was a serious problem,10,0,0,0.0,1,Worst,Worst
when we informed the front desk on a saturday morning on our way out for the day,17,0,0,0.0,0,Average,Average
the front desk girl said she’s call someone right away,14,0,0,0.0,0,Average,Average
we returned that evening at least hours later,11,0,0,0.0,0,Average,Average
to find the toilet in the same inoperable condition,9,0,0,0.0,0,Average,Average
we were then further inconvenienced by having to wait for the desk to page a repairman who finally came and spent time “fixing it,25,0,0,0.0,0,Average,Average
” it took at least an hour and we managed to get flushed in before it broke again,19,0,0,0.0,0,Worst,Worst
when management followed up with us,6,0,0,0.0,0,Average,Average
they said “thanks for the feedback,7,0,0,0.0,0,Average,Good
too bad,2,0,0,0.0,0,Worst,Worst
the location was great but with such a lousy attitude from management,12,1,0,0.0,0,Good,Good
i’ll find another hotel,6,0,0,0.0,0,Average,Average
i expected more from a marriott property,7,0,0,0.0,0,Average,Average
horrible experience i called to try an make a reservation over the phone,14,0,0,0.0,2,Worst,Worst
the lady was extremely rude for no reason she didn’t know what the check out time was… knowing basic hotel information is kinda the point of working at the front desk or booking department,36,0,1,0.0,1,Average,Average
i believe some training might do this place justice,9,0,0,0.0,0,Good,Average
i made a reservation and after spending the night at the hospital with my dying mother i came to the hotel to do a late check in to get a nap and change clothes until checkout,36,0,0,0.0,0,Average,Average
unfortunately they wouldn’t let me have the room,11,0,0,0.0,0,Worst,Worst
they charged me a noshow and then wanted to charge me again for the same room even though i would be using the room until check out,27,0,0,0.0,0,Worst,Worst
avana was rude and didn’t care that i had already paid for the room,16,0,0,0.0,1,Worst,Worst
terrible customer service,4,0,0,0.0,1,Worst,Worst
great hotel and service we checked in and talked with olivia while doing so,15,1,0,0.0,0,Good,Good
very nice she is an asset to the fairfield hotel,10,0,0,0.0,0,Good,Good
if were ever in the area again we will book our stay right here,15,0,0,0.0,0,Average,Average
so the internet was done,8,0,0,0.0,0,Average,Average
i was on a biz trip,6,0,0,0.0,0,Average,Average
staff was very friendly,4,0,0,0.0,0,Good,Good
but what yo do,5,0,0,0.0,0,Average,Average
they asked me to walk to their next door marriott hotel to use the public wifi in the lounge,19,0,0,0.0,0,Average,Average
not a huge deal,4,0,0,0.0,0,Worst,Average
but an inconvenience as a gold member,7,0,0,0.0,0,Worst,Average
again staff was ver forthcoming,6,0,0,0.0,0,Average,Average
