review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,topic_cluster
The problem is the regular evacuation alarms (which destroys your nights rest),14,0,0,0,0,Neutral,0
In the last three years I’ve experienced 18 alarms at this hotel,14,0,0,0,0,Neutral,0
It’s common enough that the regulars at the bar will occasionally comment “I hope we don’t have another fire alarm tonight”,27,0,0,0,0,Neutral,0
It’s a little hard to take the alarms seriously anymore (but the alarm is indeed piercingly loud and usually lasts 1-3 hours),26,0,0,0,0,Neutral,0
"If they are false, it’s really annoying, if they are real, you have to wonder what’s wrong with the facility that generates alarms that regularly",32,0,0,0,0,Neutral,0
Outside in the cold the only answers you get are the frustrating and condescending “we don’t know” and “it’s for your own safety”,31,0,0,0,0,Neutral,0
I’ve sat on this review for 6 months,10,0,0,0,0,Neutral,0
This morning I was rousted at 5 AM with my 18th alarm and decided to submit the review,18,0,0,0,0,Neutral,0
While waiting outside 3 hours this morning one of the firemen said this hotel generates more emergency calls than all the other hotels in the area combined,27,0,0,0,0,Neutral,0
This place is a dump! Don’t stay here,11,0,0,0,0,Neutral,1
"It’s noisy in the rooms, the hotel will run out of hot water, fire alarms go off often, there is no safe way to walk to anything to eat, the restaurant if very very expensive, the one cable machine in the gym has been broken for months",54,0,0,0,2,Worst,0
Disaster,1,0,0,0,0,Neutral,0
Update! It’s months later and the broken cable machine has been totally removed and now has a bike instead! lol! And the fire alarm is going off again!!! This place is a joke! Stay away!!!,47,0,0,0,1,Worst,0
Stay here for my trip to NYC,7,0,0,0,0,Neutral,1
Great location where is close to the bus terminal,9,1,0,0,0,Good,0
Nice and clean room for your nights,7,2,0,0,0,Good,4
"If you pay a little more, you also can get NYC skyline view in your window",17,0,0,0,0,Neutral,0
Recommended for travellers who are driving here,7,0,0,0,0,Neutral,0
Hilton,1,0,0,0,0,Neutral,0
"Positive: """" Negative: """"",8,0,0,0,0,Neutral,0
Do yourself a favor and don’t stay here,10,0,0,0,0,Neutral,1
I have never had such a bad hotel experience in just my first 24 hours here,16,0,0,0,1,Worst,0
"Between a broken phone, broken shower, being told I need to check out and check back in after the first night of a 4 night visit and then being given a key that doesn’t work by a very rude front desk worker (if I say “I hope you have a nice day” I feel like the least you could say is “you too”)",73,1,0,0,3,Worst,0
"For $500 a night I’d expect a lot better, at least the rooms are clean",19,1,0,0,0,Good,4
This was the final straw,5,0,0,0,0,Neutral,0
Never again,2,0,0,0,0,Neutral,0
Forget the fact that I am a diamond lifetime member,10,0,0,0,0,Neutral,0
I stayed 265 nights at hiltons this year alone,9,0,0,0,0,Neutral,0
I am loyal to them,5,0,0,0,0,Neutral,0
This hilton is not loyal to me,7,0,0,0,0,Neutral,0
The 2 front desk girls who are there longest are leaving,11,0,0,0,0,Neutral,0
The new employees act like they own the hotel,9,0,0,0,0,Neutral,0
The way they treated me was so uncalled for,9,0,0,0,0,Neutral,0
One employee has been rude to me since day one,10,0,0,0,1,Worst,0
I told the front desk manager a few times and his response was,13,0,0,0,0,Neutral,0
your targeting her,3,0,0,0,0,Neutral,0
Most ridiculous comment I ever heard,6,0,0,0,0,Neutral,0
I told him about her because of the way she acts towards me,13,0,0,0,0,Neutral,0
Giving keys that don't work,6,0,0,0,0,Neutral,0
Not putting me in clean quiet room as I requested,10,1,0,0,0,Good,4
Checking if I took more than 2 snacks which btw I am entitled too,14,0,0,0,0,Neutral,0
After paying 300 a night and they charge 100 per night incidental hold which was $400,17,0,0,0,0,Neutral,0
o asked the gm not to charge me 100 per night,11,0,0,0,0,Neutral,0
3 other hiltons in the area dont charge me incidental fees,11,0,0,0,0,Neutral,0
He said,2,0,0,0,0,Neutral,0
""" I will take care of it""",8,0,0,0,0,Neutral,0
Then he didn't,4,0,0,0,0,Neutral,0
Mixed messages?,3,0,0,0,0,Neutral,0
and btw the fire alarm goes off repeatedly in the middle of the night and all guests must walk down from 10th floor or less,25,0,0,0,0,Neutral,0
This hasn't been fixed in years,7,0,0,0,0,Neutral,0
Overall,1,0,0,0,0,Neutral,0
I always have bad stays and the front desk agent told me I always complain,15,0,0,0,1,Worst,0
He needs to learn,4,0,0,0,0,Neutral,0
I am a good guest,5,1,0,0,0,Good,0
I am diamond,3,0,0,0,0,Neutral,0
And if you dont speak up,6,0,0,0,0,Neutral,0
nothing changes,2,0,0,0,0,Neutral,0
He even called me pushy,5,0,0,0,0,Neutral,0
That's not the way I will treat my guests when my restaurant opens in a few months nearby,19,0,0,0,0,Neutral,0
Now I am staying at a hilton where I feel appreciated and valued,13,0,0,0,0,Neutral,0
Not at the hasbrouck heights hilton,6,0,0,0,0,Neutral,0
Never!!,3,0,0,0,0,Neutral,0
Clean room,2,1,0,0,0,Good,4
Confy beds,2,0,0,0,0,Neutral,0
"Location is ok for business and if you have a car to move around, otherwose it is a bit isolated in my view",24,0,0,0,0,Neutral,0
Restaurant has good food and Great Service!!,9,2,0,0,0,Good,3
Love it here close to all the highways,8,0,0,0,0,Neutral,0
The views in this place are spectacular,7,0,0,0,0,Neutral,0
"This location for travel, driving or public trans is the most convenient",13,0,0,0,0,Neutral,0
"For the ""just in case"", the 7/11 is up the entrance, to the right when exiting the location",22,0,0,0,0,Neutral,0
Great choices of snacks in the lobby,7,1,0,0,0,Good,0
Has a bar and restaurant which is convenient to wind down at the end of the day the breakfast is decent,21,0,1,0,0,Average,0
Definitely nothing fancy but it's good for the stay and quick bite in the morning,16,1,0,0,0,Good,1
"On December 5, 2025 I visited this hotel, got there very late around 11pm",16,0,0,0,0,Neutral,0
I have been to many hotels in different parts of the world but this is by far my worst experience,20,0,0,0,1,Worst,0
I booked this hotel because a friend is having a wedding at the hotel and staying there was made more sense,21,0,0,0,0,Neutral,0
"My first experience was with the security guard who I asked to show me the restroom, he asked “ do you have a rooms here “ this guy saw me enter the hotel with my luggages on a cart",40,0,0,0,0,Neutral,0
"Well I pretended I didn’t hear the question, then a woman at the reception asked “ what is he doing here”",25,0,0,0,0,Neutral,0
"Long story short, she asked him to escort me to the bathroom",13,0,0,0,0,Neutral,0
This guy stayed at the bathroom for me to finish whatever I was doing and escorted me back to the reception to check,23,0,0,0,0,Neutral,0
"I got there and it was this lady again, she looked so mad as if she had a problem with me",22,0,0,0,0,Neutral,0
Not too sure if it is because I am black but these people treated me and my wife as if we didn’t belong there,26,0,0,0,0,Neutral,0
Not sure if management will see this review but I think this is the worst thing any customer will want to experience,22,0,0,0,1,Worst,0
"In June 2024, I stayed at this beautiful hotel for three nights, sponsored by Schluter Systems North America for the Schluter Systems Innovation Workshop Part II",28,0,0,0,0,Neutral,0
"The experience was unforgettable, with excellent service, cleanliness, spacious rooms, friendly staff, and an especially modern renovated bathroom",23,2,0,0,0,Good,3
"The location was perfect, making it easy to get anywhere, especially to the Big Apple if you have the chance",22,1,0,0,0,Good,0
Highly recommend staying here,4,0,0,0,0,Neutral,0
"[Reply to Owner]: Thank you for the kind response! My stay was especially memorable with a reunion dinner at the hotel, and I look forward to returning soon — whether visiting my friend nearby or on a business trip to NYC",46,0,0,0,0,Neutral,0
11/15 Second time here,4,0,0,0,0,Neutral,0
"Another one night stay, West side room, quiet, clean and pretty much the same as the first room i stayed in",24,1,0,0,0,Good,4
This time #923,4,0,0,0,0,Neutral,0
10/4/25 first time and one night stay,7,0,0,0,0,Neutral,1
"Easy check in, quiet room",6,0,0,0,0,Neutral,0
Extra glass over the window to help with any traffic noise from rte 80,14,0,0,0,0,Neutral,0
"Was on the 7th floor East facing, never heard the highway",12,0,0,0,0,Neutral,0
Coffee maker in the room,5,0,0,0,0,Neutral,0
Nice shower and nice size bathroom,6,2,0,0,0,Good,0
Good TV,2,1,0,0,0,Good,0
Safe in closet,3,0,0,0,0,Neutral,0
Was there for Anime convention,5,0,0,0,0,Neutral,0
Nice staff,2,1,0,0,0,Good,2
Food was very overpriced,4,0,0,0,0,Neutral,0
Quick ride into The Bronx,5,0,0,0,0,Neutral,0
I recently completed my stay at Hilton Hasbrouck Heights and it was such a pleasant experience,16,1,0,0,0,Good,1
"From the front desk staff to the banquets team, everyone was so easy to work with",17,0,0,0,0,Neutral,2
And everyone was here to support you and ensure things were going seamlessly,13,0,0,0,0,Neutral,0
"Want to give an extra shoutout to Parth, Mae, Alan, Fern and Daniel from the front desk team that made our stay so seamless, especially given out party size - we had an amazing working with them",41,1,0,0,0,Good,0
"Lastly, shoutout to Donna, Stephanie and Helen for being the best events team ever!!!!",20,0,0,0,0,Neutral,0
It was good …,4,1,0,0,0,Good,0
"I was here once, a long time ago",9,0,0,0,0,Neutral,0
The service was quite good and it was quite comfortable!,11,2,0,0,0,Good,3
Hotel was nice but needs updates,6,1,0,0,0,Good,0
40th HIGH-SCHOOL REUNION HAD A GREAT TIME,7,1,0,0,0,Good,0
There was a wedding blasting from 6pm - 2 AM preventing me from sleeping,14,0,0,0,0,Neutral,0
"It was horrible our Fridge didn’t work no microwave,There was a buzzing in our room all night, Couldn’t sleep",26,0,0,0,1,Worst,0
Very Small rooms,3,0,0,0,0,Neutral,0
The worst audio show I have been too! The New York audio show should be in New York! Not New Jersey,23,0,0,0,1,Worst,0
I WON'T BE BACK,5,0,0,0,0,Neutral,0
SAD,1,0,0,0,0,Neutral,0
4th visit always great service,5,1,0,0,0,Good,3
I was there for a Stamp Show which they have once a year,13,0,0,0,0,Neutral,0
I did not stay at the hotel but from everything I saw her as well kept clean with plenty of parking,21,1,0,0,0,Good,1
Great place Great people,4,2,0,0,0,Good,0
Clean hotel,2,1,0,0,0,Good,4
Service was excellent,3,1,0,0,0,Good,3
Rooms need a little tlc from wear,7,0,0,0,0,Neutral,0
Shower pressure was very good,5,1,0,0,0,Good,0
No issues with hot water for us,7,0,0,0,0,Neutral,0
Clean /professional/staff and great location,5,2,0,0,0,Good,4
I am private driver,4,0,0,0,0,Neutral,0
At 4,2,0,0,0,0,Neutral,0
25amToday -09/24/25,2,0,0,0,0,Neutral,0
I went there to pick up customer,7,0,0,0,0,Neutral,0
I wanted to use rest room,6,0,0,0,0,Neutral,0
Security guy told me it was closed,7,0,0,0,0,Neutral,0
Then lady told him it was ok,7,0,0,0,0,Neutral,0
So that guy some reason he followed me to the rest room that was embarrassing,15,0,0,0,0,Neutral,0
When I was going out he was by the doors of rest room,13,0,0,0,0,Neutral,0
I did not understand why,5,0,0,0,0,Neutral,0
I asked him his nemse he did not tell me,10,0,0,0,0,Neutral,0
Then my customer came and u told the story,9,0,0,0,0,Neutral,0
He said security left front door and he protected us from you but anybody came front door and nobody was at the door,23,0,0,0,0,Neutral,0
He told me share my story,6,0,0,0,0,Neutral,0
All the time I am coming to that hotel never faced that situation,13,0,0,0,0,Neutral,0
And I did not understand he was smiling all the time it was scary,14,0,0,0,0,Neutral,0
Please check your camera,4,0,0,0,0,Neutral,0
By the way please do not let people work there if they do not any experience,16,0,0,0,0,Neutral,0
This is HILTON,3,0,0,0,0,Neutral,0
It is national company,4,0,0,0,0,Neutral,0
Sincerely,1,0,0,0,0,Neutral,0
This hotel is maybe one star and is in a horrible location,12,0,0,0,1,Worst,0
Nothing walkable but a 7-11,5,0,0,0,0,Neutral,0
If you are stuck at this hotel (one night) you will be ok,15,0,0,0,0,Neutral,0
Anything more than that- Uber Eats will be your best friend,11,0,0,0,0,Neutral,0
The restaurant SUCKS,3,0,0,0,0,Neutral,0
The breakfast buffet is maybe lukewarm,6,0,0,0,0,Neutral,0
"The potatoes are straight out of a freezer, (it doesn’t take much to dress up some frozen potatoes) onions, peppers someone who cares",29,0,0,0,0,Neutral,0
If you can stay somewhere else I would,8,0,0,0,0,Neutral,1
My family and I were long overdue for a trip and decided to stay at the Hilton (9/18/25) because of its proximity to all the activities we had planned and the positive recommendations we had heard from others,40,0,0,0,0,Neutral,0
"Unfortunately, our personal experience was very disappointing",8,0,0,0,0,Neutral,0
"Upon arrival, the gentleman responsible for checking us in was not only unprofessional but also rude, responding with unnecessary attitude and dismissiveness",24,0,0,0,1,Worst,0
"Hoping to resolve the situation respectfully, I asked to speak with a manager",14,0,0,0,0,Neutral,0
"To my surprise, the manager displayed the same lack of courtesy and professionalism, speaking to me in a manner that left me feeling belittled and unwelcome",28,0,0,0,0,Neutral,0
"As a guest, I believe that kindness, respect, and basic hospitality should be at the core of any hotel experience",23,0,1,0,0,Average,0
"Sadly, that was not the case here",8,0,0,0,0,Neutral,0
"Because of the treatment we received, my family and I decided not to stay and took our business elsewhere",20,0,0,0,0,Neutral,1
"It is disappointing to walk away from a brand we expected much better from, especially when choosing Hilton specifically for its reputation of guest care and quality service",29,0,0,0,0,Neutral,0
"The carpet in the room was dirty, rundown and smelly not a good look for the Hilton brand",19,1,0,0,1,Good,0
"My stay at the Hilton was nothing short of exceptional! From the moment I arrived, the staff greeted me with warmth and professionalism, making me feel truly welcomed",31,0,0,0,0,Neutral,0
"The room was spotless, spacious, and elegantly designed, with every detail carefully thought out for maximum comfort",20,0,0,0,0,Neutral,0
I especially loved the plush bedding and stunning city views from my window,13,1,0,0,0,Good,0
The cable machine broke and they replaced it with a pelaton? Come on guys,15,0,0,0,0,Neutral,0
Is a cable machine to much to ask for,9,0,0,0,0,Neutral,0
"Rooms are super small the rugs smell like they’ve had every type of horrible spit, spill body fluids on them absolutely nasty",25,0,0,0,1,Worst,0
The walls have dings scratches dents all over them,9,0,0,0,0,Neutral,0
The shower leaks out the bathroom floor into the hallway,10,0,0,0,0,Neutral,0
This place should be condemned,5,0,0,0,0,Neutral,0
It definitely needs a major remodel,6,0,0,0,0,Neutral,0
Looks like it hasn’t been done in 50 years,11,0,0,0,0,Neutral,0
Don’t stay here I would find a motel 6 that’s probably better than this,18,0,0,0,0,Neutral,1
The couches are also nasty dirty filthy need a bedsheet to cover it up before you sit down on one,20,0,0,0,1,Worst,0
|It seems like every person I’ve dealt with at the front desk is rude,16,0,0,0,1,Worst,0
Nasty don’t really care to seem to be here,11,0,0,0,0,Neutral,0
Just going up to buy a snack and it’s like they mad that you’re wasting their time,21,0,0,0,0,Neutral,0
|The windows are filthy,4,0,0,0,0,Neutral,0
|You can hear every noise in the hallway all night Long walls are super thin,15,0,0,0,0,Neutral,0
There’s too many other nice hotels around go stay somewhere else!,14,1,0,0,0,Good,1
wifi not working for hours no explanation given,8,0,0,0,0,Neutral,0
Haven't been there yet,5,0,0,0,0,Neutral,0
I'm going in October for the HiFi Show,9,0,0,0,0,Neutral,0
I am super stoked,4,0,0,0,0,Neutral,0
Can't sleep,3,0,0,0,0,Neutral,0
Guest next door slamming doors and partying,7,0,0,0,0,Neutral,0
Can't call the front desk because room phones don't work,12,0,0,0,0,Neutral,0
Got dressed twice already and went down 8 flights,9,0,0,0,0,Neutral,0
Desk lady does nothing,4,0,0,0,0,Neutral,0
No managers at night,4,0,0,0,0,Neutral,0
This hotel cares only about pilots staying here,8,0,0,0,0,Neutral,0
No cameras in hallways either,5,0,0,0,0,Neutral,0
Now I don't feel safe,6,0,0,0,0,Neutral,0
Went to the front to get a coffee,8,0,0,0,0,Neutral,0
The lady at the front says it’s not free,11,0,0,0,0,Neutral,0
The first words coming from the employees,7,0,0,0,0,Neutral,0
So rude and unprofessional,4,0,0,0,1,Worst,0
Then she  don’t want to sell the cofee,10,0,0,0,0,Neutral,0
Train the employees first before you sell any thing!,10,0,0,0,0,Neutral,0
Malicious practices with credit cards and rude management,8,0,0,0,1,Worst,0
Avoid at all costs,4,0,0,0,0,Neutral,0
We stayed from 8/28/25 and checked out on 8/31/25,9,0,0,0,0,Neutral,0
Arrived via Newark Airport and checked in around 3 pm,10,0,0,0,0,Neutral,0
Surprised to learn that there is an early check-in fee of $25 (check in time is 4,19,0,0,0,0,Neutral,0
00 pm),3,0,0,0,0,Neutral,0
Room carpet needs to go and replaced with vinyl planks so more sanitary - my nasal polyps flared up on the third night,23,0,0,0,0,Neutral,0
Two water bottles in the room came in handy,9,0,0,0,0,Neutral,0
"However, on the second day, requested a water bottle from the front desk and the young attendant said ""$3/bottle",23,0,0,0,0,Neutral,0
"""  The service staff has also been instructed to not give out any water bottles",15,0,0,0,0,Neutral,3
The faucet was loose,4,0,0,0,0,Neutral,0
"Car/truck noise from the street, although the city view was nice",12,1,0,0,0,Good,0
"Our couple friends in the nearby room said that on their first day, they did not get any cold water and the hot water was extremely hot",28,0,0,0,0,Neutral,0
The wedding event in one of the lower level ballroom had a good ambiance,14,1,0,0,0,Good,0
Location is very close to the highway,7,0,0,0,0,Neutral,0
Shower was great,3,1,0,0,0,Good,0
Breakfast available for purchase - we bypassed it,8,0,0,0,0,Neutral,0
Plenty of free parking,4,0,0,0,0,Neutral,0
"Positive: """" Negative: Fire alarm went off 5:30 am",12,0,0,0,0,Neutral,0
"I call front desk and they stated its a confirmed false alarm, but still required us to leave the building",21,0,0,0,0,Neutral,0
Overall nice hotel,3,1,0,0,0,Good,0
Friendly staff,2,1,0,0,0,Good,2
Clean rooms,2,1,0,0,0,Good,4
Not a bad experience overall,5,0,0,0,1,Worst,0
The hotel was comfortable and convenient,6,1,0,0,0,Good,0
"I ventured down to Times Square for the evening—just a quick 10-minute walk to the bus stop, a 30-minute ride, and I was right in the middle of the action in under an hour",38,0,0,0,0,Neutral,0
Great experience!,3,1,0,0,0,Good,0
We work a lot at a nearby hospital so this is pretty much where we have to stay,18,0,0,0,0,Neutral,1
The rooms are older and not great but it is what it is,13,1,0,0,0,Good,0
There is a restaurant and we did enjoy a dinner there the first night,14,0,0,0,0,Neutral,0
The bartender was great and they have that in their favor,11,1,0,0,0,Good,0
There is plenty of parking but get there early as it fills up fast,14,0,0,0,0,Neutral,0
Perfectly fine as far as older hotels go,8,0,1,0,0,Average,0
The staff & management is amazing! I definitely recommend having an event here,14,1,0,0,0,Good,0
We had a family reunion & they were there every step of the way,14,0,0,0,0,Neutral,0
Terrible customer service,3,0,0,0,1,Worst,3
Called my room and said I had 30 minutes to leave or the police would be called,17,0,0,0,0,Neutral,0
I am a disabled person with a service animal,9,0,0,0,0,Neutral,3
DO NOT TRUST THIS PLACE OR THE MANAGEMENT,8,0,0,0,0,Neutral,0
I stayed here 2 nights to attend an even at Met Life stadium (driving up from Philadelphia),19,0,0,0,0,Neutral,0
"I was a little hesitant after the mixed reviews, but overall it was pretty positive",16,0,0,0,0,Neutral,0
The room was clean and appeared to be recently updated,10,1,0,0,0,Good,4
"Clean, modern TV (with Netflix etc), nice bathroom, decent beds",15,2,1,0,0,Good,4
||The complaint I have is there is basically no sound insulation from the hallway,14,0,0,0,0,Neutral,0
Person opening the door next to you sounds like they are coming into your room,15,0,0,0,0,Neutral,0
People talking in the hallway?  Sounds like they are in your room,13,0,0,0,0,Neutral,0
"There was a wedding party staying at the hotel our first night, and while they weren't particularly loud, there were a few people talking near our room in the hallway (at normal volume) around midnight and it felt really loud since our room was silent at that point",53,0,1,0,0,Average,0
"Thankfully it only lasted a few minutes, but it could have been worse if it had been a poorly behaved group",22,0,0,0,0,Neutral,0
Didn't notice any noise at all on the second night,11,0,0,0,0,Neutral,0
||It's an easy Lyft/Uber ride to Met Life,9,0,0,0,0,Neutral,0
"Getting out of Met Life Stadium is a mess, but I don't think that's avoidable due to the Met Life set up",25,0,0,0,0,Neutral,0
