review,total_word_count,count_good,count_average,count_medium,count_worst,vader_score,sentiments
Very good breakfast with no extra charge for OJ! Excellent parking for a full size pick up with a trailer,21,1,0,0,0,0.7171,Good
Service was lacking a bit but reliable employees are so rare that I’ll still giving 5 stars,19,0,0,1.5,0,0.4767,Medium
"Also we did feel safe at this hotel, great neighborhood",11,1,0,0,0,0.7906,Good
Nice! Really liked this hotel,6,0,0,0,0,0.7339,Good
Lady at desk was rude and disrespectful,7,0,0,0,1,-0.4588,Worst
Booked this hotel solely for its free shuttle paired with a clinic and hotel,14,0,0,0,0,0.5106,Good
"Come to find out, it does not run on weekends to the airport and the day we needed it they didn’t have someone available to drive",29,0,0,0,0,0.0,Average
"The front desk gal was apologetic, however we did end up having to spend significantly more money on transportation services which was not planned for",26,0,0,0,0,0.0,Average
"Had we known the shuttle wasn’t a for sure service as advertised, we would have chosen elsewhere to stay",22,0,0,0,0,0.3182,Good
"We had a great time in this hotel, room is big, view is great (mountain), furniture are well equipped",24,2,0,0,0,0.8834,Good
There's an additional table that I can use,9,0,0,0,0,0.0,Average
"Breakfast was great, service was great, even on second day when the server was missing, the cook had to take care of front and back kitchen",29,2,0,0,0,0.8807,Good
"Very clean, nice room",5,1,0,0,0,0.7245,Good
Continental breakfast was better than average and the attendants were superb,11,1,0,1.5,0,0.7906,Medium
Surfaces were all clean and food was fresh,8,2,0,0,0,0.6124,Good
Indoor pool and hottub were fine,6,0,1,0,0,0.2023,Average
A really good stay here!,6,0,0,0,0,0.54,Good
Great stay,2,1,0,0,0,0.6249,Good
Conveniently located near the airport,5,0,0,0,0,0.0,Average
"Hotel fraco, ar condicionado não resfriava então mudamos de quarto, e o proximo gelava demais",17,0,0,0,0,0.0,Average
"Restaurante com poucas opções, somente porções, estava mais para um bar",13,0,0,0,0,0.0,Average
Íamos sair cedo para o aeroporto e o café deveria ser servido a partir das 6h mas deu 6:05 e não tinha ninguém pra atender,25,0,0,0,0,0.0,Average
Pagamos por café da manhã e não recebemos,8,0,0,0,0,0.0,Average
Não fosse o Anthony que foi super gentil e solicito minha nota seria zero,14,0,0,0,0,0.5994,Good
Para o Anthony dou um 10,6,0,0,0,0,0.0,Average
"Se precisar de um hotel próximo ao aeroporto procure outro, esse é só incômodo",15,0,0,0,0,0.0,Average
The building is being remodeled so there's stuff missing and things hanging down,14,0,0,0,0,-0.3535,Worst
The clerk was efficient,4,1,0,0,0,0.4215,Good
The room is dated,4,0,0,0,0,0.0,Average
Very accommodating and friendly,4,1,0,0,0,0.5367,Good
"As a loyal customer, this was by far my worst Holiday Inn experience",14,0,0,0,1,0.1779,Worst
"Where to begin, here goes:",7,0,0,0,0,0.0,Average
"Found multiple long black hairs in the shower, which was pretty gross",13,0,0,0,0,0.0258,Average
The advertised shuttle service was misleading,6,0,0,0,0,-0.4019,Worst
"It only runs from 8 AM to 5 PM, which didn't align with my flight times",18,0,0,0,0,0.0,Average
I wasn’t the only one frustrated by this—another guest had the same issue,17,0,0,0,1,-0.5267,Worst
The desk employee was rude and unhelpful,7,0,0,0,1,-0.4588,Worst
"When I called to request a shuttle for a late arrival, the woman on the phone was dismissive and cold",21,0,0,0,0,0.0,Average
No greeting upon check-in,4,0,0,0,0,-0.2924,Worst
"I had to find and interrupt the same employee, who was chatting with a coworker, just to get checked in",22,0,0,0,0,-0.34,Worst
"Room directions were unclear, and I had to wander around the hotel to find my room",17,0,0,0,0,-0.25,Worst
"The lighting in the room was poor, making it feel dark and uncomfortable, even with all the lights on",21,0,0,0,1,-0.6908,Worst
The gym’s only treadmill was broken,8,0,0,0,1,-0.4767,Worst
No complimentary coffee in the lobby,6,0,0,0,0,-0.3195,Worst
"The entire hotel felt old, neglected, and in desperate need of renovation",14,0,0,0,1,-0.6908,Worst
"Definitely not the experience I expected, especially from a brand I’ve trusted for years",17,0,0,0,0,0.7003,Good
Very clean hotel,3,1,0,0,0,0.4576,Good
The staff is wonderful specially Anthony who work at front desk,11,1,0,0,0,0.5719,Good
He makes us very smooth check in,7,0,0,0,0,0.0,Average
", and the cleaning crews, and the restaurant staff are all amazing people specially Anna",16,1,0,0,0,0.5859,Good
Everyone was happy to help and engage,7,0,0,0,0,0.8316,Good
Location is perfect for our needs,6,1,0,0,0,0.5719,Good
Close to the  airport,4,0,0,0,0,0.0,Average
Really liked this hotel,4,0,0,0,0,0.4754,Good
"Great rooms, very nice lobby",6,1,0,0,0,0.8211,Good
"Breakfast was delicious, and the free meal they offer kids wash huge; chocolate chip pancakes with whipped cream and fruit",22,1,0,0,0,0.8519,Good
"Service was slow because, like so many places, they were understaffed, but our waitress worked hard to serve everyone and even squeezed in a late order for my husband when his appointment ran late",37,0,0,0,1,0.0387,Worst
20 minutes from Red Rock Canyon and Garden of the Gods,11,0,0,0,0,0.0,Average
Would definitely return again!,5,0,0,0,0,0.4574,Good
The hotel is going through renovations and my room way definitely prerenovation,12,0,0,0,0,0.4019,Good
"The fridge didn't work, the shower had more water leaking and dropping than coming out the front of the shower head, the TV remote didn't work, and various lights didn't work",37,0,0,0,0,0.0,Average
"I paid extra for the breakfast included and there was only 1 server for 10 tables, it was entirely too many",22,0,0,0,0,0.0,Average
"I'm sure she would've loved to give good service, but if you've ever waited tables before, you know 10 is way too many, especially for breakfast when people are trying to get in and out to go do activities",45,1,0,0,0,0.6187,Good
Other than that it was a decent location for doing stuff nearby and views were good,16,0,1,0,0,0.4404,Average
It is very conveniently located near the airport and can have amazing views of Pikes Peak if you're on the right side,23,1,0,0,0,0.5859,Good
The hotel is very old and outdated,7,0,0,0,2,0.0,Worst
The mattress was a very uncomfortable spring mattress and it sagged completely on one side,15,0,0,0,1,-0.4391,Worst
The elevators displayed violations that needed to be corrected,9,0,0,0,0,-0.5267,Worst
"Overall, not a good experience",6,0,0,0,0,-0.3412,Worst
My go to place when I'm in the area,10,0,0,0,0,0.0,Average
Great hotel,2,1,0,0,0,0.6249,Good
The rooms were nice and had a great view,9,1,0,0,0,0.7845,Good
I liked it more than most hotels I've been too,11,0,0,0,0,0.4215,Good
Guy at the front was nice and helpful,8,1,0,0,0,0.6808,Good
Only negative was that they didn't have hot chocolate packets,11,0,0,0,0,-0.5719,Worst
"半年前在hotwire 上订的宾馆，有可能订的太早，当晚入住时，服务人员说我们没有我们的预订记录，我们把订的单据show给服务人员，她的第一反应是我们遇到了spam,后来她才跟我们说几个月前，这里因为漏水问题所以关闭了很多房间，他们也跟hotwire联系过，有可能是hotwire那边没通知道我们。这明明是hotel 与hotwire之间没沟通好的问题，宾馆第一方应是我们遇到了spam, 这种态度也太推卸责任了。",0,0,0,0,0,0,Neutral
Very clean hotel,3,1,0,0,0,0.4576,Good
"The staff is wonderful, and I mean everyone",9,1,0,0,0,0.5719,Good
"The front desk, the cleaning crews, and the restaurant staff are all amazing people",16,1,0,0,0,0.5859,Good
Everyone was happy to help and engage,7,0,0,0,0,0.8316,Good
Location is perfect for our needs,6,1,0,0,0,0.5719,Good
Close to the airport and not too far from the shops on Powers,13,0,0,0,0,0.0,Average
The room was a great size for us,8,1,0,0,0,0.6249,Good
There is plenty of room for two people to move about freely,12,0,0,0,0,0.4404,Good
"There is a great pool and hot tub, too",10,1,0,0,0,0.6249,Good
Never busy or crowded,4,0,0,0,0,0.0,Average
We look forward to staying here again,7,0,0,0,0,0.0,Average
"Thank you so much to the woman at the desk, Mia!",13,0,0,0,0,0.1511,Good
"I was stranded at the airport at 12a, calling every hotel",12,0,0,0,0,0.0,Average
She was glad to help and waited until I arrived before closing booking,13,0,0,0,0,0.6908,Good
"Very patient, kind and understanding",6,1,0,0,0,0.5688,Good
When I thought I couldn't afford the room she started calling surrounding hotels to help me out,18,0,0,0,0,0.4019,Good
"In the end, I ended up staying there",9,0,0,0,0,0.0,Average
"The hotel room was big and very nice with good dove shampoo and lotion, which was a lifesaver since I didn't have my luggage",26,0,0,0,0,0.8766,Good
Outstanding Performance and service,4,1,0,0,0,0.6124,Good
The restaurant was not to appealing,6,0,0,0,0,0.0,Average
"We arrived in our room to find out the A/C unit on the wall wasn't working, and the room phone didn't work so we couldn't call the front desk for help",35,0,0,0,0,0.4019,Good
We called the desk from our cell phone to ask for help,12,0,0,0,0,0.4019,Good
He said he'd be up in 5 - 10 minutes,0,0,0,0,0,0,Neutral
We're still waiting for him to show up,9,0,0,0,0,0.0,Average
"While we were waiting, we turned the TV on to find out there is no TV guide working on the TV",22,0,0,0,0,-0.296,Worst
You would think this motel would be concerned at it's reputation and would try to correct the situation,19,0,0,0,0,0.0,Average
They just wanted to collect thier money,7,0,0,0,0,0.0,Average
I will definitely make sure everyone knows about the lack of pride and customer service,15,0,0,0,0,0.6249,Good
Never will stay here again,5,0,0,0,0,0.0,Average
We stayed one night before an early flight,8,0,0,0,0,0.0,Average
"The room was clean, the bed was comfortable, and the front desk staff was friendly",17,2,0,0,0,0.8481,Good
Check-in was easy and the basics were covered,8,0,0,0,0,0.4404,Good
"||That said, the restaurant was already closed when we arrived around 8 p",14,0,0,0,0,0.0,Average
", even though it’s supposed to stay open until 9",12,0,0,0,0,0.0,Average
"That was disappointing, especially since we picked this hotel specifically for the onsite dining",15,0,0,0,1,-0.4939,Worst
"I’d seen this mentioned in other reviews, so luckily we grabbed food ahead of time",18,0,0,0,0,0.6418,Good
||The room felt a bit dated and oddly laid out—the shower was basically a small closet—but it didn’t ruin anything,26,0,0,0,0,-0.5859,Worst
The real issue was the area,6,0,0,0,1,0.0,Worst
The hotel sits next to a vacant field and the parking lot was nearly empty,15,0,0,0,0,-0.2023,Worst
It felt dark and a little sketchy,7,0,0,0,0,0.0,Average
At one point a car pulled up and someone tried to wave me over,14,0,0,0,0,0.0,Average
"I didn’t engage, but it left me feeling uneasy for the rest of the night",18,0,0,0,0,-0.2382,Worst
"||The hotel itself did its job, but the area and overall vibe just didn’t sit right with us",21,0,0,0,0,0.0,Average
"There were renovation signs in the lobby, so hopefully things are improving",13,0,0,0,0,0.75,Good
"For now though, we probably wouldn’t stay here again",12,0,0,0,0,0.0,Average
Housekeeping was amazing,3,1,0,0,0,0.5859,Good
Every day I went out to work I would come back and they would have our beds made for us perfectly,21,0,0,0,0,0.6369,Good
I was very grateful for them,6,0,0,0,0,0.5095,Good
"Rooms were great, but my view was of the entrance awning",12,1,0,0,0,0.3716,Good
Lillian is exceptional,3,1,0,0,0,0.0,Good
So polite and helpful,4,2,0,0,0,0.4703,Good
Sierra at the front desk was so professional and had great customer service while checking us in! Thank you 😊,21,2,0,0,0,0.9168,Good
"This hotel stinks, smells like moldrew",7,0,0,0,0,0.128,Good
Check to make sure you reservations includes breakfast,8,0,0,0,0,0.3182,Good
They are never at the front desk,7,0,0,0,0,0.0,Average
The only good thing is maybe the pool,8,0,0,0,0,0.4404,Good
Very disappointed holiday inn,4,0,0,0,2,-0.1065,Worst
"Great customer service at the front desk, and the restaurant is really good",14,1,0,0,0,0.807,Good
Better than the one next door to this location,9,0,0,0,0,0.4404,Good
Honestly enjoyed the location of this establishment quite a bit as I was traveling back and forth to family’s house for business,24,1,0,0,0,0.743,Good
"Booked 2 rooms over a 3 or so day stay, was happy when there was a restaurant on site & hot tub to soak in after a long day",30,0,0,0,0,0.5719,Good
"I was hoping to unwind for my final night, Sunday day light savings if it matters when I see the restaurant doors closed, I asked management close by if I could stop in for a drink, where he stated they had closed early",46,0,0,0,0,0.1779,Good
I usually understand however it was only 8:30 pm however they have posted 10pm close,15,0,0,0,0,0.0,Average
"I was hoping for a night cap, not the worst thing to happen but wished I could have had the option…",22,0,0,0,1,0.4673,Worst
The hotel is currently undergoing remodeling,6,0,0,0,0,0.0,Average
"Upon our arrival, we noticed that the carpet was dirty",11,0,0,0,1,-0.4404,Worst
The pool was closed for cleaning,6,0,0,0,0,0.0,Average
The bottom of the pool also appeared dingy,8,0,0,0,0,0.0,Average
"Additionally, the hot tub had a white ring around the top",12,0,0,0,0,0.2023,Good
"The hotel advertised complimentary breakfast on their website, but this was not provided",14,0,0,0,0,0.2382,Good
The restaurant either closed early or did not open due to being short-staffed,13,0,0,0,0,0.0,Average
"When we requested room cleaning, we received fresh towels and empty trash cans, while the beds were left unmade",21,1,0,0,0,0.128,Good
"Furthermore, the ice machine on the second floor was broken",11,0,0,0,1,-0.4767,Worst
It would be best to avoid this hotel,8,1,0,0,1,0.4588,Good
've stayed here a couple times,6,0,0,0,0,0.0,Average
It's always been very pleasant,6,1,0,0,0,0.5563,Good
Sierra at the front desk is absolutely amazing,8,1,0,0,0,0.624,Good
She made my stay wonderful,5,1,0,0,0,0.5719,Good
Will definitely be back,4,0,0,0,0,0.4019,Good
I've stayed here a couple times,7,0,0,0,0,0.0,Average
It's always been very pleasant,6,1,0,0,0,0.5563,Good
Sierra at the front desk is absolutely amazing,8,1,0,0,0,0.624,Good
She made my stay wonderful,5,1,0,0,0,0.5719,Good
Will definitely be back,4,0,0,0,0,0.4019,Good
Housekeeping certainly left something to be desired,7,0,0,0,0,0.5423,Good
Desk service was little help,5,0,0,0,0,0.3415,Good
"No soap, dirty towels, unable to get any extra pillows for my sleep apnea",16,0,0,0,1,0.0531,Worst
Thoroughly a bad stay,4,0,0,0,0,-0.5829,Worst
I DO NOT recommend staying here,6,1,0,0,1,-0.2755,Good
The beds were terrible,4,0,0,0,1,-0.4767,Worst
"No pool towels available, had to ask multiple times for coffee to be made finally at 10 am they put some out",23,0,0,0,0,-0.296,Worst
Asked about any breakfast items many times also before 2 muffins were set out,14,0,0,0,0,0.0,Average
The sliding front doors need to be manually forced open,10,0,0,0,0,-0.4588,Worst
Can't call down to the desk because the phone in the room doesn't work,16,0,0,0,0,0.0,Average
"What a great hotel! The staff was fantastic, and the pool was nice",15,2,0,0,0,0.8955,Good
"My room was immaculate and in a nice, quiet spot in the hotel! Thanks for all your hard work, guys; I will always return to this hotel!",32,1,0,0,0,0.7081,Good
"Stayed here for a business trip for one night and it was awesome!! Our employer said everything was set up…the reservation for the room was, but not the payment",32,1,0,0,0,0.4826,Good
Got in later in the day and got a voucher for a drink and a snack with my room,19,0,0,0,0,0.0,Average
Went to the restaurant inside the hotel and had an amazing burger and beer then a dip in the hot tub and pool,23,1,0,0,0,0.5859,Good
Breakfast wasn’t included BUT when we went to the restaurant we were told a super secret and got vouchers that I used to get the meat lovers omelet at the recommendation of front of house staff,38,0,0,0,0,0.899,Good
"Everyone was super friendly and helpful given our employer forgot to mention that after driving for three hours one way for a business meeting, that we would have to pay for everything including the room",36,1,0,0,0,0.8591,Good
"However, everything is VERY reasonably priced and worth every penny spent",12,1,0,0,0,0.2263,Good
The perfect one night stay for us! We were in town for a night for our fertility treatment,19,1,0,0,0,0.6114,Good
"Hospitality was excellent, the restaurant attached to the hotel was very good and the server was extremely kind! Vinny was top notch and deserves all the recognition for going above and beyond for us patients staying with your hotel",41,2,0,0,0,0.9132,Good
"He was incredibly helpful, friendly, and made our morning way smoother than we thought it would be for how our nerves were going into a procedure! Can’t thank him enough! We will have to be back in this area again in a few months and we will look no further than this spot! Our only downfall was not being able to try the breakfast! Next time, though :) thanks again!",81,1,0,0,0,0.9265,Good
This is a very nice room! Everything you need! A walk-in shower,14,0,0,0,0,0.5686,Good
Back -glow mirror,3,0,0,0,0,0.0,Average
Huge bed,2,0,0,0,0,0.3182,Good
I would definitely stay here again! Pet friendly too!,11,0,0,0,0,0.7568,Good
"Lisa was amazing! Very friendly! Very nice spot to eat, food was amazing!!!! This isn’t your typical free breakfast at all! I don’t even eat breakfast and only came down for a free banana type thing and realized this is an actual amazing meal",56,3,0,0,0,0.9799,Good
The most expensive item I think was $10 and I might not be able to eat lunch today because they fed so much,24,0,0,0,1,0.0,Worst
"Buyer beware: I booked our room, explicitly telling the reservations service where my call was redirected that I am bringing my son AND his dog, since the hotel is ""pet friendly",35,0,0,0,0,0.4939,Good
""" At that point, the person taking the reservation should have said: ""By the way, there is a $75 pet fee",26,0,0,0,0,0.0,Average
""" I would then have said, I can't afford that, I'll try elsewhere",17,0,0,0,0,0.0,Average
"But no, instead, I was told in rather belligerent terms UPON CHECKING OUT that we ""should have told them we were bringing our dog"" (which we did when we made the reservation!) and the worker is ""doing my job"" and adding a $75 pet fee to our bill",58,0,0,0,0,0.0,Average
"This is a corporate grift if ever there was one! On top of that, half the outlets in our room did not work,  we were plugging things in alternative outlets and urinating in the dark",38,0,0,0,0,0.2714,Good
"Dog lovers beware, there is an exorbitant ""pet fee"" that costs about as much as a whole room that will be hidden from you until checkout time",30,0,0,0,0,0.5267,Good
Pet friendly? More like pet pricey!!,9,0,0,0,0,0.7634,Good
Location rating probably depends on what you’re doing,10,0,0,0,0,0.0,Average
The price was good,4,0,0,0,0,0.4404,Good
Breakfast is dependent upon the type of rate,8,0,0,0,0,0.0,Average
Front desk service was exceptional,5,1,0,0,0,0.0,Good
Our room was clean and comfortable,6,2,0,0,0,0.7184,Good
You might as well stay at a Super 8 and save the money,13,0,0,0,0,0.8481,Good
I'm extremely disappointed,4,0,0,0,1,-0.5256,Worst
"Room had a stopped up sink, The bathtub didn't drain well and was stained, T",18,0,0,0,1,-0.4047,Worst
"only had one channel, and there was a cable hanging out the back of it, the remote was dead, There was puke stains on the carpet",29,0,0,0,0,-0.8271,Worst
Yeah save your money and go elsewhere,7,0,0,0,0,0.6597,Good
"My stay was the night of Oct 17, 2024 into the morning of Oct 18th",0,0,0,0,0,0,Neutral
"At 1AM, the sound of loud bass from the adjoining room woke me up",15,0,0,0,0,0.0,Average
"Not only could I hear the music, but the incessant sounds of three to four people partying as well",20,0,0,0,0,0.7227,Good
"(for the management, this party room was 421 - we shared the conjoining doors )",17,0,0,0,0,0.6731,Good
I called the front desk around (est) 120 am,0,0,0,0,0,0,Neutral
They said they would call room 421,7,0,0,0,0,0.0,Average
The music and loud talking continued,6,0,0,0,0,0.0,Average
"I allowed 10 minutes to pass, hoping the cacophony would end",12,0,0,0,0,0.4215,Good
It did not,3,0,0,0,0,0.0,Average
The music got *louder*  I called again -  i think my watch said 1:36 AM,0,0,0,0,0,0,Neutral
"Same answer from the front desk (""I'll call and let them know"", she said)",20,0,0,0,0,0.0,Average
"After no sign of the party dying down, i went to the front desk at 2 AM and complained for a third time",24,0,0,0,0,-0.296,Worst
"While I understand that safety is #1 and that a night manager shouldn't be banging on doors, the Colorado Springs Police are at the Hotel's disposal for just this occasion",34,0,0,0,0,0.4215,Good
"As a consolation prize, the night manager moved me to a  room on the third floor - where i could still hear the rhythmic thumping of the music until 4AM - despite being one floor down and 2 over",40,0,0,0,0,0.5106,Good
I am certain that I can't be the only one affected by these people keeping other guests awake,19,0,0,0,0,0.128,Good
Basic hotel,2,0,1,0,0,0.0,Average
Property is old,3,0,0,0,1,0.0,Worst
No free Breakfast,3,0,0,0,0,-0.4023,Worst
"Great location from where I needed to go for my time in Colorado Springs! Customer service was great, with a few employees who had unapproachable attitudes, but the more social employees balanced the experience",37,3,0,0,0,0.6588,Good
I am extremely disappointed with my recent experience booking a stay at Holiday Inn,14,0,0,0,1,-0.1761,Worst
"Last week, I reserved a room with wedding block I was attending (not part of the wedding block, but at the same location)",27,0,0,0,0,-0.4404,Worst
"The hotel I originally intended to book was fully booked, but instead of clearly notifying me, the Holiday Inn website automatically rerouted me to another location without my knowledge",31,0,0,0,0,0.7964,Good
The website displayed a brief 2-3 second message that there were no rooms available at my desired location,18,0,0,0,0,-0.0258,Average
"Then, it rerouted me to a different page with alternate hotel locations, but still displayed the original hotel’s address at the top, making it appear as though I had booked at the correct location",39,0,0,0,0,0.631,Good
It was only after receiving the confirmation email that I realized I had booked the wrong hotel,17,0,0,0,0,-0.4767,Worst
"I have attached a photo showing the correct/wedding block hotel location, with a different location as the top result for booking - note that there is no message or alert that the location I was looking to book at did not have any rooms available",46,0,0,0,0,-0.6355,Worst
"When I called Holiday Inn customer service to correct the mistake, I was told that due to the rate I had booked, they would not allow me to cancel or modify the reservation (without being charged one night)",42,0,0,0,1,-0.196,Worst
"This was incredibly frustrating, as I had called immediately after noticing the error",14,0,0,0,0,-0.7089,Worst
"When rooms did become available at the correct hotel, they refused to transfer my reservation, instead insisting that I cancel, pay a penalty of one night, and then rebook at the correct hotel",37,0,0,0,0,-0.765,Worst
This deceitful booking practice and refusal to accommodate such a simple request is incredibly disappointing,15,0,0,0,1,-0.7501,Worst
I hope this review serves as a warning to others,10,0,0,0,0,0.128,Good
"Be very careful when booking through Holiday Inn's website, as their practices are misleading and their customer service while kind, was completely unhelpful",26,1,0,0,0,0.6478,Good
UPDATE - I went to check in for my reservation last night and it turns out that Holiday inn canceled my reservation about 2 weeks ago,26,0,0,0,0,0.4019,Good
"The lovely friend desk staff member explained that the cancellation seemed to have come from corporate, not from this location",21,0,0,0,0,0.7906,Good
"I can't help but wonder if somebody cancelled my reservation, without my consent or appropriate notification, after writing this review",23,0,0,0,0,-0.6283,Worst
Had to check in late due to the weather,9,0,0,0,0,0.0,Average
Rates were decent,3,0,1,0,0,0.0,Average
The room was more than adequate,6,0,0,0,0,0.2911,Good
Staff was accommodating,3,1,0,0,0,0.0,Good
I would bypass the complimentary breakfast if you're a rewards member,12,0,0,0,0,0.7184,Good
The restaurant was overwhelmed and understaffed,6,0,0,0,0,0.0516,Good
The beds are wonderful,4,1,0,0,0,0.5719,Good
The room is very big,5,0,0,0,0,0.0,Average
Stayed here while I was looking for an apartment due to relocation for work,14,0,0,0,0,0.0,Average
"The rooms are a little outdated, but they are spacious, and the bed is comfortable",17,2,0,0,1,0.6652,Good
The staff is great and even gave a small gesture,10,1,0,0,0,0.6249,Good
Was staying here while I found an apartment,8,0,0,0,0,0.0,Average
"Rooms are kinda out dated, they are spacious, and the bed are comfortable",15,2,0,0,0,0.5106,Good
The staff gave a nice gesture,6,0,0,0,0,0.4215,Good
1-Toilet clogged 2-Sink clogged 3-Room phone was not working 4- One hour power outage in the morning,17,0,0,0,0,0.0,Average
My son breathing device stopped functioning,6,0,0,0,0,-0.2263,Worst
That was scary,3,0,0,0,0,-0.4939,Worst
The rooms and staff were great,6,1,0,0,0,0.6249,Good
On issues and near the airport,6,0,0,0,1,0.0,Worst
Good location,2,0,0,0,0,0.4404,Good
is the only upside Motel 6 like decor in the rooms,11,0,0,0,0,0.3612,Good
Does not look or smell clean,6,1,0,0,1,0.4019,Good
Getting invoice was a total PITA,6,0,0,0,0,-0.6626,Worst
Over-priced,1,0,0,0,0,0.0,Average
"Thank you Lisa, best server they have came in on her day off to cover for the other server that calls out, thanks again for coming in on your Saturday",32,1,0,0,0,0.8625,Good
"We got in late and left really early, the hotel was suitable for everything we needed",17,0,0,0,0,0.0,Average
Rooms were nicely appointed and clean,6,1,0,0,0,0.6808,Good
"Would recommend,  will stay there again when I’m passing through next time",15,1,0,0,0,0.3612,Good
Great service staff,3,2,0,0,0,0.6249,Good
Rooms were comfortable and good water pressure,7,1,0,0,0,0.6124,Good
"For a meeting place, it fit the bill",9,0,0,0,0,0.3612,Good
Great hotel with clean rooms and good restaurant with cold beer/drinks and delicious burgers,14,3,0,0,0,0.9246,Good
Burger patties made in house from locally sourced/grown beef,9,0,0,0,0,0.0,Average
Cheese curds were delicious as well! Will be staying again,11,1,0,0,0,0.7263,Good
Really nice hotel,3,0,0,0,0,0.4754,Good
"Rooms and hotel were very clean, the bed was comfortable and the WiFi was good without any issues",19,2,0,0,1,0.8479,Good
We checked in and the front desk lady was very cold,11,0,0,0,0,0.0,Average
"No smile, no warm feeling",6,0,0,0,0,-0.3089,Worst
Maybe she was having a bad day but not very welcoming,11,1,0,0,0,-0.6892,Good
The only other negative but small thing was the tv,10,0,0,0,0,-0.3291,Worst
It was really small which you could expect to be bigger,11,0,0,0,0,0.0,Average
Other than that I’d definitely Marty again,9,0,0,0,0,0.4019,Good
Our flight was delayed 8hrs,5,0,0,0,1,-0.2263,Worst
When we arrived it was late and we were exhausted,10,0,0,0,0,-0.3612,Worst
"Gentleman in front, I believe his name was Derek was extremely helpful (July 12th 2024 11ish PM)",20,1,0,0,0,0.4754,Good
We booked through a 3rd party website so he informed us that they were already over booked and did not have the room type we reserved,26,0,0,0,0,0.4019,Good
"I was beyond annoyed at this point from flight, but Derek did everything in his power to make sure we had a room with mountain view and double queens as we reserved",33,0,0,0,0,0.2846,Good
"He explained to me how when making reservations on 3rd party sites, it will reserve the room type, but its basically first come first serve bases, and that they can run out of rooms",37,0,0,0,0,0.2144,Good
I definitely think that needs to be corrected and shouldn't be allowed,13,0,0,0,0,0.4019,Good
"Though we received a room at 11pm, whosever room we received that night wouldn't have a place to sleep and they made reservations as well",27,0,0,0,0,0.2732,Good
"Derek's customer service skills were top notch, he was calm and worked through the issues while training a new employee that he just met within 5mins of us checking in",32,0,0,0,1,0.4767,Worst
"I will say the employee (girl) that came in to relive him of his shift had a whole different attitude asking whos car was parked outside blocking entrance, customer behind me was also checking in and thought that's where you park if you are checking in",50,0,0,0,0,-0.3818,Worst
She was rude and her tone was condescending,8,0,0,0,1,-0.4588,Worst
"If I would of had to check in with her, I probably would of been turned away",18,0,0,0,0,0.0,Average
